Date,Opponent,Tackles,Tackles,Tackles,Tackles,Tackles,Sacks,Sacks,Fumble,Fumble,Fumble,INT,INT,QBH,Pass Brup,Blkd Kick,SAF
Date,Opponent,Solo,AST,TOT,TFL,YDS,TOT,YDS,FF,FR,YDS,TOT,YDS,QBH,Pass Brup,Blkd Kick,SAF
9/1/2018,Lawrence University,38,22,60,7.0,24,2.0,17,0,2,12,0,0,0,1,2,0
9/8/2018,Trinity Bible Coll.,22,52,74,3.0,19,2.0,12,1,0,0,0,0,0,1,1,0
9/22/2018,St. Norbert College,43,6,49,17.0,48,2.0,9,6,4,2,2,82,0,2,2,0
9/29/2018,Ripon College,35,32,67,8.0,28,1.0,10,2,4,2,4,20,0,1,0,1
10/6/2018,Monmouth College,36,40,76,13.0,51,7.0,40,2,0,0,0,0,0,3,0,0
10/13/2018,Knox College,28,37,65,5.0,16,1.0,4,0,0,0,0,0,0,5,1,0
10/20/2018,Lake Forest College,23,50,73,12.0,53,3.0,14,1,1,12,1,0,0,1,0,0
10/27/2018,Illinois College,43,28,71,12.0,48,6.0,31,2,2,12,3,1,1,4,0,0
11/3/2018,Cornell College,29,48,77,8.0,28,2.0,12,0,1,0,1,7,0,0,0,0
11/10/2018,Beloit,45,16,61,6.0,21,2.0,11,3,1,0,1,8,0,4,0,0
