Stat,Value,Player/Opponent
Rushes,25.0,Daniel Carter vs Trinity Bible Coll. (9/8/2018)
Yards Rushing,162.0,Dustin Saia vs Trinity Bible Coll. (9/8/2018)
TD Rushes,3.0,Daniel Carter vs Trinity Bible Coll. (9/8/2018)
Long Rush,37.0,Dustin Saia vs Cornell College (11/3/2018)
,37.0,Daniel Carter vs Beloit (11/10/2018)
Pass Attempts,46.0,Jake Kaplinski vs Knox College (10/13/2018)
Pass Completions,23.0,Jake Kaplinski vs Lake Forest College (10/20/2018)
Yards Passing,238.0,Jake Kaplinski vs Cornell College (11/3/2018)
TD Passes,3.0,Jake Kaplinski vs Beloit (11/10/2018)
Longest Pass,63.0,Jake Kaplinski vs Cornell College (11/3/2018)
Receptions,10.0,Dustin Saia vs Knox College (10/13/2018)
,10.0,Dustin Saia vs Lake Forest College (10/20/2018)
,10.0,Dustin Saia vs Illinois College (10/27/2018)
Yards Receiving,156.0,Dustin Saia vs Cornell College (11/3/2018)
TD Receptions,2.0,Dustin Saia vs Illinois College (10/27/2018)
,2.0,Daniel Carter vs Beloit (11/10/2018)
Longest Reception,63.0,Dustin Saia vs Cornell College (11/3/2018)
Punts,11.0,Patrick Goldammer vs Monmouth College (10/6/2018)
Punting Average,38.3,Jake Kaplinski vs St. Norbert College (9/22/2018)
Longest Punt,54.0,Jake Kaplinski vs St. Norbert College (9/22/2018)
Longest Punt Return,35.0,Max Hill vs Cornell College (11/3/2018)
,35.0,Ben Lim vs Monmouth College (10/6/2018)
Longest Kickoff Return,39.0,Sal Kargbo vs Illinois College (10/27/2018)
Tackles,20.0,Ryan Slager vs Lawrence University (9/1/2018)
Tackles For Loss,4.5,Jeff Keele vs Trinity Bible Coll. (9/8/2018)
,4.5,Hassan Thompson vs Cornell College (11/3/2018)
Interceptions,2.0,Sal Kargbo vs Beloit (11/10/2018)
