Statistic,GRINNELL COLLEGE,Opponents OPP
Scoring,Scoring,Scoring
Points Per Game PPG,14.10,38.00
Total TOT,141,380
First Downs,First Downs,First Downs
Rushing RUSH,60,106
Passing PASS,71,74
Penalty PEN,17,4
Total TOT,148,184
Rushing,Rushing,Rushing
Yards Gained YDS,1411,2273
Yards Lost YDL,468,247
Attempts ATT,387,416
Average Per Attempt AVG/ATT,2.4,4.9
Avg. Per Game AVG/G,94.3,202.6
Touchdowns TDS,9,25
Total TOT,943,2026
Passing,Passing,Passing
Att-Comp-Int ATT-CMP-INT,311-145-12,250-134-7
Avg. Per Attempt AVG/ATT,5.21,6.38
Avg. Per Game AVG/G,162.00,159.40
Touchdowns TDS,11,19
Total TOT,1620,1594
Total Offense,Total Offense,Total Offense
Total Plays TOT,698,666
Avg. Per Play AVG/P,3.7,5.4
Avg. Per Game AVG/G,256.3,362.0
Total Yards TOT YDS,2563,3620
Touchdowns TDS,21,52
Returns,Returns,Returns
Kickoff: Average KO: AVG,18.65,17.21
Kickoff: Total KO: TOT,34-634,29-499
Punt: Average P: AVG,13.80,13.09
Punt: Total P: TOT,10-138,22-288
INT: Average INT: AVG,8.14,9.83
INT: Total INT: TOT,7-57,12-118
Kicking,Kicking,Kicking
Punt: Avg. Yards Per Game P: AVG/G,29.06,34.02
Punt: Net Average P: Net AVG,24.10,28.57
Punt: Total Yards P: YDS,62-1802,51-1735
FG: Good-Attempts FG: FGM-FGA,0-0,6-10
Onside Kicks Onside K,0-0,1-1
Penalties,Penalties,Penalties
Avg. Per Game (YDS) AVG/G,47.90,71.70
Total-Yards TOT/YDS,58-479,74-717
Time Of Possession,Time Of Possession,Time Of Possession
Avg. Per Game AVG/G,32:34,27:26
Total TOT,05:25:39,04:34:16
Miscellaneous,Miscellaneous,Miscellaneous
3rd Down Conversions 3rd %,48-154 (31.17 %),42-127 (33.07 %)
4th Down Conversions 4th %,6-29 (20.69 %),10-20 (50.00 %)
Fumbles-Lost FUM-Lost,31-15,12-5
Sacks-Yards Lost SCK YDS,22-149,30-166
PAT: Good-Attempts PAT,15-20,44-49
Misc. Yards MISC YDS,0,0
Red Zone: Attempts-Scores RZ: ATT-Score,15-21,40-50
Red Zone: Touchdowns RZ: TDS,15-21,37-50
