Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
9/1/2018,Lawrence University,6,244,40.7,43,0,2,0,0,3,2-2,39.0,0,4,251,62.75,2,0
9/8/2018,Trinity Bible Coll.,9,218,20.2,39,0,0,0,0,0,0-0,,0,1,40,40.0,0,0
9/22/2018,St. Norbert College,3,127,42.3,56,0,1,1,1,2,0-0,,0,14,806,57.57,8,1
9/29/2018,Ripon College,4,172,43.0,51,0,0,1,1,3,1-1,35.0,0,9,479,53.22,0,1
10/6/2018,Monmouth College,5,168,27.0,42,0,1,0,0,1,0-0,,0,9,482,53.56,4,0
10/13/2018,Knox College,6,199,33.2,39,0,1,0,0,1,0-1,0.0,0,4,220,55.0,2,0
10/20/2018,Lake Forest College,2,83,41.5,44,0,1,0,0,1,1-2,28.0,0,5,282,56.4,1,2
10/27/2018,Illinois College,2,75,37.5,38,0,0,0,0,1,1-3,36.0,2,10,572,57.2,1,1
11/3/2018,Cornell College,8,304,38.0,46,0,1,0,0,1,1-1,39.0,0,5,297,59.4,1,0
11/10/2018,Beloit,6,145,17.333,37,1,0,0,0,1,0-0,,0,4,194,48.5,0,0
