Stat,Value,Player/Opponent
Rushes,55,vs Ripon College (9/29/2018)
Yards Rushing,372,vs St. Norbert College (9/22/2018)
TD Rushes,6,vs St. Norbert College (9/22/2018)
Pass Attempts,41,vs Beloit (11/10/2018)
Pass Completions,24,vs Illinois College (10/27/2018)
Yards Passing,303,vs Illinois College (10/27/2018)
TD Passes,4,vs Monmouth College (10/6/2018)
