Date,Opponent,Result,Score,Record,Duration,Attendance
9/1/2018,at Lawrence University,L,13-20,0-1,2:25,898
9/8/2018,vs Trinity Bible Coll.,W,46-0,1-1,2:40,724
9/22/2018,at St. Norbert College,L,0-91,1-2,2:40,2111
9/29/2018,vs Ripon College,L,7-53,1-3,2:38,643
10/6/2018,at Monmouth College,L,0-55,"1-4 , 0-1",2:42,2100
10/13/2018,vs Knox College,L,7-28,"1-5 , 0-2",2hr44min,523
10/20/2018,vs Lake Forest College,L,0-24,"1-6 , 0-3",3:05,388
10/27/2018,at Illinois College,L,14-55,"1-7 , 0-4",2:55,1178
11/3/2018,vs Cornell College,L,13-23,"1-8 , 0-5",2:25,247
11/10/2018,at Beloit,W,41-31,2-8,2:45,234
,,,,,,9046
