Date,Opponent,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Date,Opponent,ATT,YDS,TD,Long,ATT,YDS,TD,Long,YDS,TD,Long,ATT,YDS,TD,Long,ATT,YDS,TD,Long
9/1/2018,Lawrence University,36,90,0,10,18,210,2,36,210,2,36,2,36,0,18,0,0,0,0
9/8/2018,Trinity Bible Coll.,51,320,5,27,10,124,2,38,124,2,38,1,15,0,15,1,10,0,10
9/22/2018,St. Norbert College,37,-18,0,10,9,67,0,27,67,0,27,2,23,0,16,0,0,0,0
9/29/2018,Ripon College,38,83,1,13,9,112,0,54,112,0,54,7,140,0,38,1,1,0,1
10/6/2018,Monmouth College,39,-16,0,6,14,143,0,32,143,0,32,2,24,0,14,1,35,0,35
10/13/2018,Knox College,32,17,0,11,21,170,1,18,170,1,18,2,42,0,33,0,0,0,0
10/20/2018,Lake Forest College,31,39,0,18,23,134,0,14,134,0,14,2,33,0,25,0,0,0,0
10/27/2018,Illinois College,36,74,0,29,17,192,2,29,192,2,29,8,162,0,39,1,8,0,8
11/3/2018,Cornell College,41,103,1,37,13,238,1,63,238,1,63,4,77,0,32,4,46,0,35
11/10/2018,Beloit,46,251,2,37,11,230,3,60,230,3,60,4,82,0,38,2,38,1,33
