Unnamed: 0,Time,Athletes,Meet,Meet Date
,1:49.30,"Clennon, Miller, Fritts, Ajinjeru",2014 Midwest Conference Championships,"Feb 28, 2014"
,1:49.74,"Clennon, Ajinjeru, Fritts, Miller",Wartburg Invite,"Feb 22, 2014"
,1:53.30,"Clennon, Ajinjeru, Fritts, Miller",Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014"
