Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Ajinjeru, Christine",SR-4,26.65,Darren Young Indoor Classic,"Feb 15, 2014",0.0
,"Ajinjeru, Christine",SR-4,27.41,2014 Hilltop Invite,"Feb 1, 2014",0.0
,"Clennon, Emily",SR-4,28.09,Darren Young Indoor Classic,"Feb 15, 2014",0.0
,"Tyree, Daja",SO-2,28.61,2014 Midwest Conference Championships,"Feb 28, 2014",0.0
,"Fritts, Rachel",SR-4,28.81,Darren Young Indoor Classic,"Feb 15, 2014",0.0
,"Tyree, Daja",SO-2,28.92,Wartburg Invite,"Feb 22, 2014",0.0
,"Tyree, Daja",FR-1,29.43,Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014",0.0
,"Fritts, Rachel",SR-4,29.73,2014 Hilltop Invite,"Feb 1, 2014",0.0
,"Tyree, Daja",FR-1,29.81,2014 Hilltop Invite,"Feb 1, 2014",0.0
,"Robert, Miranda",SR-4,30.17,Darren Young Indoor Classic,"Feb 15, 2014",0.0
,"Robert, Miranda",SR-4,30.21,Wartburg Invite,"Feb 22, 2014",0.0
,"Bresette-Buccino, Nora",SO-2,30.23,Darren Young Indoor Classic,"Feb 15, 2014",0.0
,"Bresette-Buccino, Nora",SO-2,30.47,Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014",0.0
,"Silver, Brittany",JR-3,30.48,2014 Midwest Conference Championships,"Feb 28, 2014",0.0
,"Carpenter, Becca",JR-3,30.49,2014 Midwest Conference Championships,"Feb 28, 2014",0.0
,"Carpenter, Becca",JR-3,30.53,Wartburg Invite,"Feb 22, 2014",0.0
,"Bresette-Buccino, Nora",SO-2,30.61,2014 Hilltop Invite,"Feb 1, 2014",0.0
,"Silver, Brittany",JR-3,30.64,Wartburg Invite,"Feb 22, 2014",0.0
,"Carpenter, Becca",JR-3,31.01,2014 Hilltop Invite,"Feb 1, 2014",0.0
,"Silver, Brittany",JR-3,31.31,Darren Young Indoor Classic,"Feb 15, 2014",0.0
,"Robert, Miranda",JR-3,31.88,2014 Hilltop Invite,"Feb 1, 2014",0.0
,"Robert, Miranda",JR-3,32.28,Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014",0.0
,"Schmiechen, Alex",FR-1,32.56,Wartburg Invite,"Feb 22, 2014",0.0
,"Schmiechen, Alex",FR-1,32.79,Darren Young Indoor Classic,"Feb 15, 2014",0.0
,"Schmiechen, Alex",SO-2,32.79,Grinnell College Indoor Invitational Track & Field Meet,"Feb 8, 2014",0.0
,"Schmiechen, Alex",SO-2,32.81,2014 Hilltop Invite,"Feb 1, 2014",0.0
