Unnamed: 0,Time,Athletes,Meet,Meet Date
,4:17.55 #,"Ong, Staker, Roark, Leonard",Midwest Conference Indoor Championships,"Feb 23, 2024"
,4:28.38 #,"Thompson, Goodman, Kreeger, Staker",Darren Young Classic,"Feb 10, 2024"
,4:36.80 #,"Thompson, Kreeger, Ong, Rabbani",Grinnell Invitational,"Jan 27, 2024"
,4:46.61 #,"Barba, Harrison, Karow, Roth",Grinnell Invitational,"Jan 27, 2024"
