0,1,2,3,4,5
Grinnell College,318,313,631,55,11th
Roger Smith,78,74,152,8,t-23rd
Thornton Walker,74,78,152,8,t-23rd
Ayan Sheikh,81,82,163,19,t-67th
Kevin Carpenter,85,79,164,20,69th
John Robinson,95,96,191,47,78th
