0,1,2,3,4,5
Grinnell College,314,299,613,+37,6th
Roger Smith,76,68,144,E,2nd
Thornton Walker,77,76,153,+9,t-19th
Eshaan Sethi,79,77,156,+12,t-30th
John Robinson,84,80,164,+20,53rd
Kevin Carpenter,82,86,168,+24,61st
Ayan Sheikh#,dnc,78,78,,
