0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Highland Classic,"Sep. 2-3, 2022",2,90-92=182,+38,56th/60
Fighting Scot Fall Invite,"Sep. 17-18, 2022",2,85-88=173,+29,t-28th/38
Iowa Wesleyan Spring Tiger Classic,"March 28, 2023",1,88,+16,t-60th/72
SEASON TOTALS,SEASON TOTALS,5,443 Avg. 88.6,+17,-
