Unnamed: 0,Time,Athletes,Meet,Meet Date
,13:00.26,"Ahrens, Maddaus, Teagle, Young",Midwest Conference Indoor Track & Field Championships,"Feb 26, 2016"
,13:19.89,"Ahrens, Roberts, Teagle, Young",Grinnell Indoor Invitational,"Feb 6, 2016"
