Player,Longest,Current
"Dykstra, Hannah",18,18
"Durak, Taylor",17,-
"Chu, Samantha",16,6
"Anson, Kambria",11,-
"DiCarlo, Sofia",10,1
"Okada, Alexa",8,-
"Vermeulen, Lizzy",8,-
"DiGiacomo-Zahller, Emma",7,1
"Oda, Jasmine",7,7
"Killion, Kyra",6,1
"Pender, Elyse",6,6
"Vermeulen, Kathryn",5,-
"Becker, Anne",5,5
"Isaak, Baily",4,-
"Schultz, Lindsey",2,2
"Nesbeth, Bella",1,-
