#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
14.0,"Trani, Emma 14 Trani, Emma",17,2,15,0,1.0,1,13,0,0,0,View Bio
25.0,"Isaak, Baily 25 Isaak, Baily",16,16,0,0,1.0,0,0,0,0,0,View Bio
15.0,"Hartman, Christin 15 Hartman, Christin",9,1,8,0,1.0,0,14,2,0,0,View Bio
16.0,"Schultz, Lindsey 16 Schultz, Lindsey",3,1,2,0,1.0,0,0,0,0,0,View Bio
20.0,"Becker, Anne 20 Becker, Anne",1,1,0,0,1.0,0,0,0,0,0,View Bio
13.0,"Killion, Kyra 13 Killion, Kyra",114,92,20,2,0.982,1,30,5,6,0,View Bio
5.0,"Vermeulen, Lizzy 5 Vermeulen, Lizzy",91,77,12,2,0.978,2,10,5,2,0,View Bio
17.0,"Oda, Jasmine 17 Oda, Jasmine",247,234,7,6,0.976,8,0,0,0,0,View Bio
7.0,"Durak, Taylor 7 Durak, Taylor",67,59,5,3,0.955,0,0,0,0,0,View Bio
2.0,"Okada, Alexa 2 Okada, Alexa",159,90,60,9,0.943,9,0,0,0,0,View Bio
88.0,"Chu, Samantha 88 Chu, Samantha",157,40,107,10,0.936,7,0,0,0,0,View Bio
26.0,"Anson, Kambria 26 Anson, Kambria",61,56,1,4,0.934,0,0,0,0,0,View Bio
4.0,"Dykstra, Hannah 4 Dykstra, Hannah",178,67,98,13,0.927,8,0,0,0,0,View Bio
3.0,"DiGiacomo-Zahller, Emma 3 DiGiacomo-Zahller, Emma",40,35,2,3,0.925,0,0,0,0,0,View Bio
11.0,"Vermeulen, Kathryn 11 Vermeulen, Kathryn",35,5,27,3,0.914,2,9,7,0,0,View Bio
18.0,"DiCarlo, Sofia 18 DiCarlo, Sofia",55,47,2,6,0.891,1,0,0,0,0,View Bio
8.0,"Kohler, Lane 8 Kohler, Lane",4,0,2,2,0.5,0,4,1,0,0,View Bio
22.0,"Pender, Elyse 22 Pender, Elyse",2,0,1,1,0.5,0,0,0,0,0,View Bio
1.0,"Nesbeth, Bella 1 Nesbeth, Bella",0,0,0,0,0.0,0,0,0,0,0,View Bio
,Totals,1256,823,369,64,0.949,15,80,20,8,0,
,Opponents,1171,804,309,58,0.95,15,100,12,7,0,
