#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,Bio Link
20.0,"Becker, Anne 20Becker, Anne",1.0,2.333,6-1,3,1,3,1,0,0,3,4,1.333,0,2,0,0,1.0,0,0,0-0,View Bio
4.0,"Dykstra, Hannah 4Dykstra, Hannah",0.61,1.623,16-16,41,23,25,0,1,4,21,39,0.951,11,3,8,0,0.672,3,0,7-8,View Bio
22.0,"Pender, Elyse 22Pender, Elyse",0.6,1.267,5-1,5,3,3,0,0,0,1,3,0.6,1,0,0,0,0.667,0,0,1-1,View Bio
23.0,"Durak, Taylor 23Durak, Taylor",0.58,1.583,16-16,50,25,29,11,0,3,32,49,0.98,8,1,3,0,0.603,4,0,2-2,View Bio
11.0,"Vermeulen, Kathryn 11Vermeulen, Kathryn",0.5,1.346,8-8,16,7,8,2,2,0,9,14,0.875,0,0,1,0,0.471,1,2,1-1,View Bio
2.0,"Okada, Alexa 2Okada, Alexa",0.455,1.144,16-16,33,15,15,4,0,0,12,19,0.576,6,4,2,0,0.568,1,2,3-3,View Bio
88.0,"Chu, Samantha 88Chu, Samantha",0.42,1.363,16-16,50,24,21,6,0,5,19,42,0.84,10,3,2,0,0.523,2,1,0-0,View Bio
18.0,"DiCarlo, Sofia 18DiCarlo, Sofia",0.4,0.909,10-9,25,8,10,2,0,0,8,12,0.48,2,0,3,0,0.429,1,1,0-0,View Bio
3.0,"DiGiacomo-Zahller, Emma 3DiGiacomo-Zahller, Emma",0.373,0.803,16-16,51,17,19,1,0,0,17,20,0.392,4,0,5,0,0.411,1,2,3-3,View Bio
26.0,"Anson, Kambria 26Anson, Kambria",0.36,0.849,16-16,50,22,18,1,1,0,11,21,0.42,5,1,4,0,0.429,0,3,7-7,View Bio
5.0,"Vermeulen, Lizzy 5Vermeulen, Lizzy",0.348,0.986,8-8,23,6,8,4,0,0,6,12,0.522,3,2,4,0,0.464,0,0,0-0,View Bio
17.0,"Oda, Jasmine 17Oda, Jasmine",0.333,0.911,14-14,45,10,15,5,0,1,16,23,0.511,3,2,6,0,0.4,0,0,0-0,View Bio
13.0,"Killion, Kyra 13Killion, Kyra",0.3,0.817,8-8,20,6,6,0,0,0,4,6,0.3,8,1,1,0,0.517,0,1,1-1,View Bio
25.0,"Isaak, Baily 25Isaak, Baily",0.25,0.705,8-2,8,0,2,0,0,0,2,2,0.25,2,1,3,0,0.455,0,0,0-0,View Bio
16.0,"Schultz, Lindsey 16Schultz, Lindsey",0.1,0.35,8-4,10,2,1,0,0,0,1,1,0.1,2,0,2,0,0.25,0,0,0-0,View Bio
1.0,"Nesbeth, Bella 1Nesbeth, Bella",0.0,0.25,5-0,3,2,0,0,0,0,0,0,0.0,1,0,2,0,0.25,0,0,0-0,View Bio
8.0,"Kohler, Lane 8Kohler, Lane",0.0,0.0,4-0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-1,View Bio
,Totals,0.423,1.123,16-16,433,172,183,37,4,13,162,267,0.617,66,20,46,0,0.506,13,12,25-27,
,Opponents,0.26,0.656,16-16,373,44,97,11,0,5,43,123,0.33,27,10,61,3,0.326,1,9,5-7,
