#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
88,"Chu, Samantha 88 Chu, Samantha",0.419,1.244,43-43,148,60,62,17,1,10,47,111,0.75,18,6,5,1,0.494,2,1,0-0,View Bio
4,"Dykstra, Hannah 4 Dykstra, Hannah",0.41,1.202,43-43,117,42,48,5,2,7,41,78,0.667,29,6,27,0,0.535,3,3,12-14,View Bio
23/7,"Durak, Taylor 23/7 Durak, Taylor",0.404,1.123,43-43,136,41,55,16,1,5,57,88,0.647,20,3,16,2,0.476,5,1,4-4,View Bio
26,"Anson, Kambria 26 Anson, Kambria",0.39,0.896,42-42,136,48,53,2,3,0,22,61,0.449,13,1,13,0,0.447,0,5,18-19,View Bio
3,"DiGiacomo-Zahller, Emma 3 DiGiacomo-Zahller, Emma",0.314,0.685,43-43,137,25,43,4,0,0,32,47,0.343,8,0,15,0,0.342,4,5,5-6,View Bio
17,"Oda, Jasmine 17 Oda, Jasmine",0.304,0.854,36-36,102,22,31,9,0,2,28,46,0.451,15,2,23,0,0.403,0,1,0-0,View Bio
2,"Okada, Alexa 2 Okada, Alexa",0.299,0.823,43-43,107,30,32,10,0,0,29,42,0.393,16,10,21,0,0.43,2,2,5-6,View Bio
22,"Pender, Elyse 22 Pender, Elyse",0.385,0.885,12-3,13,4,5,0,0,0,2,5,0.385,3,0,3,0,0.5,0,0,1-1,View Bio
11,"Vermeulen, Kathryn 11 Vermeulen, Kathryn",0.364,1.008,24-18,33,10,12,2,2,0,9,18,0.545,7,0,7,0,0.463,1,2,1-1,View Bio
20,"Becker, Anne 20 Becker, Anne",0.364,0.922,11-2,11,2,4,1,0,0,4,5,0.455,1,2,5,0,0.467,1,0,0-0,View Bio
13,"Killion, Kyra 13 Killion, Kyra",0.35,0.849,26-23,60,15,21,3,0,0,14,24,0.4,13,1,6,0,0.449,4,2,2-2,View Bio
18,"DiCarlo, Sofia 18 DiCarlo, Sofia",0.3,0.737,29-27,70,13,21,6,0,0,14,27,0.386,5,1,12,1,0.351,1,1,0-0,View Bio
5,"Vermeulen, Lizzy 5 Vermeulen, Lizzy",0.255,0.768,22-20,51,12,13,5,0,0,8,18,0.353,8,6,16,0,0.415,0,2,0-0,View Bio
25,"Isaak, Baily 25 Isaak, Baily",0.214,0.527,17-6,28,1,6,0,0,0,2,6,0.214,3,1,8,0,0.313,0,0,0-0,View Bio
16,"Schultz, Lindsey 16 Schultz, Lindsey",0.212,0.589,24-12,33,9,7,2,0,0,4,9,0.273,3,2,8,0,0.316,0,2,1-1,View Bio
1,"Nesbeth, Bella 1 Nesbeth, Bella",0.0,0.167,8-0,5,2,0,0,0,0,0,0,0.0,1,0,4,0,0.167,0,1,0-0,View Bio
8,"Kohler, Lane 8 Kohler, Lane",0.0,0.0,14-3,0,4,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,1-2,View Bio
,Totals,0.348,0.929,43-43,1187,340,413,82,9,24,313,585,0.493,163,41,189,4,0.436,23,28,50-56,
,Opponents,0.269,0.685,43-43,1081,155,291,37,8,8,140,368,0.34,99,31,150,4,0.345,8,37,40-50,
