#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
13.0,"Killion, Kyra 13 Killion, Kyra",41,36,5,0,1.0,0,3,2,1,0,View Bio
5.0,"Vermeulen, Lizzy 5 Vermeulen, Lizzy",37,34,3,0,1.0,1,2,0,0,0,View Bio
3.0,"DiGiacomo-Zahller, Emma 3 DiGiacomo-Zahller, Emma",10,10,0,0,1.0,0,0,0,0,0,View Bio
11.0,"Vermeulen, Kathryn 11 Vermeulen, Kathryn",9,0,9,0,1.0,1,2,0,0,0,View Bio
15.0,"Hartman, Christin 15 Hartman, Christin",3,1,2,0,1.0,0,3,2,0,0,View Bio
14.0,"Trani, Emma 14 Trani, Emma",1,0,1,0,1.0,0,0,0,0,0,View Bio
16.0,"Schultz, Lindsey 16 Schultz, Lindsey",1,0,1,0,1.0,0,0,0,0,0,View Bio
25.0,"Isaak, Baily 25 Isaak, Baily",1,1,0,0,1.0,0,0,0,0,0,View Bio
17.0,"Oda, Jasmine 17 Oda, Jasmine",95,88,3,4,0.958,4,0,0,0,0,View Bio
2.0,"Okada, Alexa 2 Okada, Alexa",56,34,19,3,0.946,3,0,0,0,0,View Bio
23.0,"Durak, Taylor 23 Durak, Taylor",17,15,1,1,0.941,0,0,0,0,0,View Bio
26.0,"Anson, Kambria 26 Anson, Kambria",16,15,0,1,0.938,0,0,0,0,0,View Bio
88.0,"Chu, Samantha 88 Chu, Samantha",61,16,41,4,0.934,4,0,0,0,0,View Bio
18.0,"DiCarlo, Sofia 18 DiCarlo, Sofia",14,12,1,1,0.929,1,0,0,0,0,View Bio
4.0,"Dykstra, Hannah 4 Dykstra, Hannah",60,20,35,5,0.917,4,0,0,0,0,View Bio
1.0,"Nesbeth, Bella 1 Nesbeth, Bella",0,0,0,0,0.0,0,0,0,0,0,View Bio
20.0,"Becker, Anne 20 Becker, Anne",0,0,0,0,0.0,0,0,0,0,0,View Bio
22.0,"Pender, Elyse 22 Pender, Elyse",0,0,0,0,0.0,0,0,0,0,0,View Bio
8.0,"Kohler, Lane 8 Kohler, Lane",0,0,0,0,0.0,0,0,0,0,0,View Bio
,Totals,422,282,121,19,0.955,18,10,4,1,0,
,Opponents,394,264,102,28,0.929,12,50,4,1,0,
