Statistic,High,Player,Opponent
INNINGS PITCHED,8.0,K. Vermeulen,Millikin (3/9/2024)
RUNS ALLOWED,14.0,K. Vermeulen,Lake Forest (4/6/2024)
EARNED RUNS,10.0,K. Vermeulen,Lake Forest (4/6/2024)
WALKS ALLOWED,5.0,L. Kohler; K. Vermeulen; Lane Kohler,Ozarks (Ark.) (2/24/2024); Lawrence (5/3/2024); DePauw (3/9/2024); Lake Forest (4/6/2024)
STRIKEOUTS,9.0,C. Hartman,Clarkson (3/21/2024); Monmouth (Ill.) (4/22/2024)
HITS ALLOWED,15.0,C. Hartman,Lake Forest (4/6/2024)
DOUBLES ALLOWED,3.0,K. Vermeulen,Simpson (3/30/2024); Lake Forest (4/6/2024)
TRIPLES ALLOWED,2.0,Emma Trani,DePauw (3/9/2024)
HOME RUNS ALLOWED,3.0,K. Vermeulen,Lake Forest (4/6/2024)
WILD PITCHES,4.0,Emma Trani,Millikin (3/10/2024)
HIT BATTERS,4.0,K. Vermeulen,Lawrence (5/3/2024)
