Statistic,High,Opponent
AT BATS,41,Ozarks (Ark.) (2/24/2024)
RUNS SCORED,21,Ripon (4/20/2024)
HITS,18,Clarkson (3/21/2024)
RBIS,18,Ripon (4/20/2024)
DOUBLES,6,Millikin (3/10/2024); Cornell College (4/27/2024)
TRIPLES,2,Knox (4/17/2024)
HOME RUNS,2,College of Wooster (3/18/2024); Clarkson (3/21/2024); Lake Forest (4/6/2024); Lake Forest (4/6/2024); Monmouth (Ill.) (4/22/2024)
WALKS,10,Carroll (Wis.) (2/24/2024)
STRIKEOUTS,12,Ozarks (Ark.) (2/24/2024); Millikin (3/9/2024)
SAC HITS,2,Millikin (3/9/2024); Lawrence (5/3/2024); Lake Forest (5/11/2024); Lake Forest (4/6/2024); Beloit (4/7/2024)
SAC FLIES,2,DePauw (3/9/2024); Coe College (4/13/2024); Monmouth (Ill.) (4/22/2024); Monmouth (Ill.) (4/22/2024)
STOLEN BASES,4,Knox (4/17/2024); Clarkson (3/21/2024)
HIT BY PITCH,4,DePauw (3/9/2024)
CAUGHT STEALING,1,Luther College (3/2/2024); Wis.-Eau Claire (3/17/2024); Belhaven (2/25/2024); St.Olaf College (3/2/2024); Beloit (4/7/2024)
HIT INTO DP,2,Luther College (3/2/2024); Belhaven (2/25/2024)
