Player,2,3,4,5+,Total
"Durak, Taylor",5,3,4,3,15
"Chu, Samantha",6,6,2,-,14
"Dykstra, Hannah",8,4,-,1,13
"DiGiacomo-Zahller, Emma",7,3,1,-,11
"Oda, Jasmine",4,4,1,-,9
"Okada, Alexa",3,3,1,-,7
"Anson, Kambria",4,1,-,-,5
"DiCarlo, Sofia",4,-,-,-,4
"Vermeulen, Kathryn",2,1,-,-,3
"Killion, Kyra",2,-,-,-,2
"Vermeulen, Lizzy",-,1,-,-,1
"Schultz, Lindsey",1,-,-,-,1
"Becker, Anne",1,-,-,-,1
TEAM,47,26,9,4,86
