Statistic,High,Opponent
INNINGS PITCHED,11.0,Ozarks (Ark.) (2/24/2024)
RUNS ALLOWED,14.0,Lake Forest (4/6/2024)
EARNED RUNS,10.0,Lake Forest (4/6/2024)
WALKS ALLOWED,8.0,DePauw (3/9/2024)
STRIKEOUTS,9.0,Clarkson (3/21/2024); Monmouth (Ill.) (4/22/2024)
HITS ALLOWED,15.0,Lake Forest (4/6/2024)
DOUBLES ALLOWED,3.0,Simpson (3/30/2024); Lake Forest (4/6/2024)
TRIPLES ALLOWED,2.0,DePauw (3/9/2024)
HOME RUNS ALLOWED,3.0,Lake Forest (4/6/2024)
WILD PITCHES,7.0,Millikin (3/10/2024)
HIT BATTERS,4.0,Lawrence (5/3/2024)
