#,Player,ERA,WHIP,W-L,APP-GS,CG,SHO,SV,IP,H,R,ER,BB,SO,2B,3B,HR,AB,B/AVG,WP,HBP,BK,SFA,SHA,Bio Link
14.0,"Trani, Emma 14Trani, Emma",0.0,0.62,1-0,5-0,0,0-1,1,13.0,7,1,0,1,5,0,0,0,40,0.175,0,2,0,0,2,View Bio
15.0,"Hartman, Christin 15Hartman, Christin",2.54,1.34,6-2,8-8,5,3-0,0,41.1,51,17,15,4,32,6,0,2,178,0.287,1,2,0,0,1,View Bio
11.0,"Vermeulen, Kathryn 11Vermeulen, Kathryn",3.53,1.56,6-1,8-8,6,2-1,0,39.2,39,26,20,22,24,5,0,3,155,0.252,3,6,0,1,6,View Bio
,Totals,2.61,1.32,13-3,21-16,11,7,1,94.0,97,44,35,27,61,11,0,5,373,0.26,4,10,0,1,9,
,Opponents,11.53,2.83,3-13,34-16,4,0,0,88.0,183,172,145,66,46,37,4,13,433,0.423,22,20,0,13,12,
