Statistic,High,Player,Opponent
AT BATS,5,A. Okada; S. Chu; T. Durak,Ozarks (Ark.) (2/24/2024); Millikin (3/9/2024); Lawrence (5/3/2024); Lake Forest (5/11/2024); Carroll (Wis.) (2/24/2024)
RUNS SCORED,4,T. Durak; S. Chu; K. Anson,Knox (4/17/2024); Ripon (4/20/2024); Illinois Col. (5/10/2024); Lake Forest (5/10/2024); Clarkson (3/21/2024)
HITS,4,K. Anson; T. Durak; S. Chu,Ozarks (Ark.) (2/24/2024); DePauw (3/9/2024); Clarkson (3/21/2024); Cornell College (4/27/2024)
RBIS,5,T. Durak,Knox (4/17/2024); Clarkson (3/21/2024); Cornell College (4/27/2024)
DOUBLES,2,S. Chu; J. Oda,Ripon (4/20/2024); Ripon (4/20/2024); Lake Forest (5/11/2024); Carroll (Wis.) (2/24/2024); Millikin (3/10/2024)
TRIPLES,1,K. Anson; T. Durak; H. Dykstra,Millikin (3/9/2024); Middlebury (3/18/2024); Simpson (3/30/2024); Knox (4/17/2024); Ripon (4/20/2024)
HOME RUNS,1,S. Chu; J. Oda; H. Dykstra,Ozarks (Ark.) (2/24/2024); Luther College (3/2/2024); Middlebury (3/18/2024); Knox (4/17/2024); Knox (4/17/2024)
WALKS,3,S. Chu; K. Killion,Knox (4/17/2024); Lake Forest (4/6/2024)
STRIKEOUTS,3,S. Dicarlo; Jasmine Oda; L. Vermeulen,Ozarks (Ark.) (2/24/2024); Millikin (3/9/2024); Belhaven (2/25/2024)
SAC HITS,2,E. Digiacomo zahller,Millikin (3/9/2024)
SAC FLIES,2,E. Digiacomo zahller; Samantha Chu,Coe College (4/13/2024); Monmouth (Ill.) (4/22/2024)
STOLEN BASES,2,K. Anson; H. Dykstra,Middlebury (3/18/2024); Ripon (4/20/2024); Lake Forest (4/6/2024); Cornell College (4/27/2024)
HIT BY PITCH,2,H. Dykstra,DePauw (3/9/2024)
CAUGHT STEALING,1,A. Okada; H. Dykstra; E. zahller; Kambria Anson,Luther College (3/2/2024); Wis.-Eau Claire (3/17/2024); Belhaven (2/25/2024); St.Olaf College (3/2/2024); Beloit (4/7/2024)
HIT INTO DP,2,T. Durak,Belhaven (2/25/2024)
