Unnamed: 0,Time,Athletes,Meet,Meet Date
,4:10.08,"Jensen, Miller, Young, Bresette-Buccin",2015 Jim Duncan Invitational,"Apr 10, 2015"
,4:31.82,"Carpenter, Bresette-Buccin, Teagle, Pinnette",2015 Cornell Outdoor Invite,"Apr 4, 2015"
