Unnamed: 0,Athlete,Year,Time,Meet,Meet Date,Wind
,"Fadden, Lucas",SO-2,21.77 #,Liz Wuertz Indoor Meet,"Feb 17, 2024",NWI
,"Pfister, Caden",FR-1,23.39 #,Liz Wuertz Indoor Meet,"Feb 17, 2024",NWI
,"Fitzgerald, Keaton",SO-2,23.75 #,Midwest Conference Indoor Championships,"Feb 23, 2024",NWI
,"Rathburn, Justin",FR-1,23.79 #,Grinnell Invitational,"Jan 27, 2024",NWI
,"Fornari, Luca",JR-3,24.08 #,Grinnell Invitational,"Jan 27, 2024",NWI
,"Reed, Jack",FR-1,24.10 #,Liz Wuertz Indoor Meet,"Feb 17, 2024",NWI
,"James, Xavier",JR-3,24.22 #,Grinnell Invitational,"Jan 27, 2024",NWI
,"Leisher, Ilem",FR-1,24.62 #,Grinnell Invitational,"Jan 27, 2024",NWI
,"Block, Owen",FR-1,24.77 #,Liz Wuertz Indoor Meet,"Feb 17, 2024",NWI
,"Dykstra, Murphy",FR-1,25.38 #,Grinnell Invitational,"Jan 27, 2024",NWI
,"Milenge, Moise",SO-2,25.80 #,Liz Wuertz Indoor Meet,"Feb 17, 2024",NWI
,"Barnes, Khairy",FR-1,27.69 #,Grinnell Invitational,"Jan 27, 2024",NWI
