Unnamed: 0,Time,Athletes,Meet,Meet Date
,3:25.78 #,"Pfister, Chestovich, Heagy, Fadden",Midwest Conference Indoor Championships,"Feb 23, 2024"
,3:33.55 #,"Chestovich, Heagy, Welch-Groves, Robinson",Darren Young Classic,"Feb 10, 2024"
,3:37.61 #,"Block, Novelle, Pfister, Welch-Groves",Grinnell Invitational,"Jan 27, 2024"
,3:39.90 #,"Novelle, Pfister, Block, Snyder",Darren Young Classic,"Feb 10, 2024"
,3:48.63 #,"Ramsey, Goodell, Ching, Block",2023 Grinnell Opener,"Dec 1, 2023"
