Name,GP,MIN,MIN/G
"#12 Marx, Julian",23,425,18.5
"#05 Curta, Vinny",23,422,18.3
"#33 Curta, Nick",23,375,16.3
"#22 Balcom, Nathan",23,366,15.9
"#03 Boehm, Griffin",23,364,15.8
"#13 Johnson, Ky-Sean",23,362,15.7
"#35 Ekstrand, Jacob",23,353,15.3
"#04 Porter, Mike",22,350,15.9
"#45 Cullinane, Sean",23,343,14.9
"#02 Phillip, Ikaika",21,303,14.4
"#25 Conran, Jake",23,200,8.7
"#15 Jacobson, Noah",23,180,7.8
"#21 Bynum , Reggie",17,144,8.5
"#44 Gulve, Anthony",22,143,6.5
"#11 King, Gus",23,137,6.0
"#10 Ward, Henry",17,76,4.5
"#24 Redhead, Andrew",8,33,4.1
"#23 Leder, Jacob",7,20,2.9
"#42 Schroeder, Mike",5,16,3.2
"#54 Zajac, Jakub",5,11,2.2
"#21 Marks, Jermaine",1,2,2.0
