Name,GP,TO,TO/G
"#05 Curta, Vinny",23,93,4.0
"#13 Johnson, Ky-Sean",23,37,1.6
"#12 Marx, Julian",23,37,1.6
"#04 Porter, Mike",22,31,1.4
"#35 Ekstrand, Jacob",23,24,1.0
"#02 Phillip, Ikaika",21,22,1.0
"#15 Jacobson, Noah",23,21,0.9
"#22 Balcom, Nathan",23,13,0.6
"#25 Conran, Jake",23,13,0.6
"#33 Curta, Nick",23,11,0.5
"#11 King, Gus",23,10,0.4
"#03 Boehm, Griffin",23,9,0.4
"#45 Cullinane, Sean",23,9,0.4
"#21 Bynum , Reggie",17,6,0.4
"#44 Gulve, Anthony",22,3,0.1
#TM Team,23,2,0.1
"#24 Redhead, Andrew",8,1,0.1
"#42 Schroeder, Mike",5,1,0.2
"#54 Zajac, Jakub",5,1,0.2
