Name,GP,AST,AST/G
"#05 Curta, Vinny",23,115,5.0
"#12 Marx, Julian",23,73,3.2
"#04 Porter, Mike",22,57,2.6
"#22 Balcom, Nathan",23,27,1.2
"#33 Curta, Nick",23,26,1.1
"#02 Phillip, Ikaika",21,24,1.1
"#15 Jacobson, Noah",23,22,1.0
"#35 Ekstrand, Jacob",23,21,0.9
"#25 Conran, Jake",23,16,0.7
"#13 Johnson, Ky-Sean",23,16,0.7
"#03 Boehm, Griffin",23,14,0.6
"#11 King, Gus",23,11,0.5
"#45 Cullinane, Sean",23,9,0.4
"#21 Bynum , Reggie",17,8,0.5
"#10 Ward, Henry",17,3,0.2
"#44 Gulve, Anthony",22,2,0.1
"#23 Leder, Jacob",7,2,0.3
