Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#12 Marx, Julian",23,110,280,0.393,4.8,12.2
"#45 Cullinane, Sean",23,65,146,0.445,2.8,6.3
"#35 Ekstrand, Jacob",23,55,166,0.331,2.4,7.2
"#13 Johnson, Ky-Sean",23,49,153,0.32,2.1,6.7
"#05 Curta, Vinny",23,36,121,0.298,1.6,5.3
"#22 Balcom, Nathan",23,33,84,0.393,1.4,3.7
"#04 Porter, Mike",22,24,65,0.369,1.1,3.0
"#02 Phillip, Ikaika",21,17,51,0.333,0.8,2.4
"#33 Curta, Nick",23,16,41,0.39,0.7,1.8
"#44 Gulve, Anthony",22,9,20,0.45,0.4,0.9
"#11 King, Gus",23,8,36,0.222,0.3,1.6
"#15 Jacobson, Noah",23,7,23,0.304,0.3,1.0
"#10 Ward, Henry",17,6,17,0.353,0.4,1.0
"#25 Conran, Jake",23,4,15,0.267,0.2,0.7
"#21 Bynum , Reggie",17,2,8,0.25,0.1,0.5
"#03 Boehm, Griffin",23,1,5,0.2,0.0,0.2
"#21 Marks, Jermaine",1,1,1,1.0,1.0,1.0
"#24 Redhead, Andrew",8,1,3,0.333,0.1,0.4
"#42 Schroeder, Mike",5,1,3,0.333,0.2,0.6
"#54 Zajac, Jakub",5,1,2,0.5,0.2,0.4
"#23 Leder, Jacob",7,0,5,0.0,0.0,0.7
