Name,GP,AST,TO,AST/TO Ratio
"#22 Balcom, Nathan",23,27,13,2.08
"#33 Curta, Nick",23,26,11,2.36
"#03 Boehm, Griffin",23,14,9,1.56
"#21 Bynum , Reggie",17,8,6,1.33
"#25 Conran, Jake",23,16,13,1.23
"#45 Cullinane, Sean",23,9,9,1.0
"#05 Curta, Vinny",23,115,93,1.24
"#15 Jacobson, Noah",23,22,21,1.05
"#11 King, Gus",23,11,10,1.1
"#12 Marx, Julian",23,73,37,1.97
"#02 Phillip, Ikaika",21,24,22,1.09
"#04 Porter, Mike",22,57,31,1.84
