#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,AST/G,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,AST/G,TO,STL,BLK,Bio Link
05,"Curta, Vinny 05 Curta, Vinny",18,8.0,326,18.1,135,290,0.466,29,93,0.312,133,173,0.769,432,24.0,14,31,45,2.5,42,90,5.0,67,40,3,View Bio
12,"Marx, Julian 12 Marx, Julian",18,11.0,327,18.2,116,288,0.403,72,202,0.356,45,49,0.918,349,19.4,5,23,28,1.6,23,51,2.8,23,13,0,View Bio
13,"Johnson, Ky-Sean 13 Johnson, Ky-Sean",18,11.0,284,15.8,86,202,0.426,34,111,0.306,45,58,0.776,251,13.9,10,14,24,1.3,33,13,0.7,27,19,1,View Bio
45,"Cullinane, Sean 45 Cullinane, Sean",18,7.0,278,15.4,61,132,0.462,58,126,0.46,3,3,1.0,183,10.2,18,9,27,1.5,23,7,0.4,7,17,0,View Bio
35,"Ekstrand, Jacob 35 Ekstrand, Jacob",18,10.0,285,15.8,58,151,0.384,45,130,0.346,16,23,0.696,177,9.8,22,42,64,3.6,49,13,0.7,17,27,12,View Bio
04,"Porter, Mike 04 Porter, Mike",18,9.0,291,16.2,34,84,0.405,22,58,0.379,31,44,0.705,121,6.7,16,19,35,1.9,49,47,2.6,23,18,1,View Bio
22,"Balcom, Nathan 22 Balcom, Nathan",18,9.0,293,16.3,28,72,0.389,26,67,0.388,9,13,0.692,91,5.1,21,21,42,2.3,23,22,1.2,9,22,1,View Bio
33,"Curta, Nick 33 Curta, Nick",18,8.0,292,16.2,38,76,0.5,13,27,0.481,16,26,0.615,105,5.8,45,38,83,4.6,35,21,1.2,9,23,33,View Bio
02,"Phillip, Ikaika 02 Phillip, Ikaika",16,6.0,242,15.1,22,57,0.386,13,37,0.351,25,28,0.893,82,5.1,14,31,45,2.8,56,19,1.2,14,20,2,View Bio
03,"Boehm, Griffin 03 Boehm, Griffin",18,10.0,280,15.6,23,38,0.605,1,5,0.2,14,25,0.56,61,3.4,46,41,87,4.8,35,8,0.4,7,12,1,View Bio
21,"Marks, Jermaine 21 Marks, Jermaine",1,1.0,2,2.0,1,1,1.0,1,1,1.0,0,0,0.0,3,3.0,0,0,0,0.0,0,0,0.0,0,0,0,View Bio
15,"Jacobson, Noah 15 Jacobson, Noah",18,0.0,143,7.9,10,34,0.294,6,19,0.316,11,22,0.5,37,2.1,10,13,23,1.3,21,17,0.9,12,14,1,View Bio
21,"Bynum , Reggie 21 Bynum , Reggie",12,0.0,93,7.8,5,10,0.5,2,4,0.5,6,7,0.857,18,1.5,5,3,8,0.7,18,6,0.5,4,6,1,View Bio
11,"King, Gus 11 King, Gus",18,0.0,99,5.5,8,29,0.276,7,26,0.269,0,0,0.0,23,1.3,7,7,14,0.8,13,9,0.5,8,7,0,View Bio
24,"Redhead, Andrew 24 Redhead, Andrew",8,0.0,33,4.1,3,6,0.5,1,3,0.333,1,1,1.0,8,1.0,3,4,7,0.9,4,0,0.0,1,1,1,View Bio
25,"Conran, Jake 25 Conran, Jake",18,0.0,146,8.1,5,14,0.357,2,7,0.286,0,2,0.0,12,0.7,12,20,32,1.8,22,8,0.4,12,5,7,View Bio
44,"Gulve, Anthony 44 Gulve, Anthony",18,0.0,125,6.9,5,15,0.333,5,14,0.357,0,0,0.0,15,0.8,5,5,10,0.6,6,2,0.1,2,5,0,View Bio
23,"Leder, Jacob 23 Leder, Jacob",6,0.0,19,3.2,1,7,0.143,0,4,0.0,2,2,1.0,4,0.7,1,0,1,0.2,1,2,0.3,0,0,0,View Bio
42,"Schroeder, Mike 42 Schroeder, Mike",4,0.0,11,2.8,1,3,0.333,1,3,0.333,0,0,0.0,3,0.8,0,5,5,1.3,1,0,0.0,0,0,0,View Bio
TM,Team  TM Team,18,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,2,0.1,47,31,78,4.3,0,0,0.0,1,0,0,
10,"Ward, Henry 10 Ward, Henry",13,0.0,46,3.5,5,15,0.333,2,11,0.182,0,0,0.0,12,0.9,2,1,3,0.2,7,1,0.1,0,0,0,View Bio
54,"Zajac, Jakub 54 Zajac, Jakub",4,0.0,10,2.5,1,2,0.5,1,2,0.5,0,0,0.0,3,0.8,0,0,0,0.0,2,0,0.0,1,0,0,View Bio
,Total,18,,3625,201.4,646,1526,0.423,341,950,0.359,357,476,0.75,1992,110.67,303,358,661,36.7,463,336,18.7,244,249,64,
,Opponents,18,,3625,201.4,674,1133,0.595,54,165,0.327,380,560,0.679,1782,99.0,213,639,852,47.3,412,435,24.2,492,116,66,
