Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#05 Curta, Vinny",23,184,385,0.478,8.0,16.7
"#12 Marx, Julian",23,167,386,0.433,7.3,16.8
"#13 Johnson, Ky-Sean",23,112,265,0.423,4.9,11.5
"#35 Ekstrand, Jacob",23,70,192,0.365,3.0,8.3
"#45 Cullinane, Sean",23,69,155,0.445,3.0,6.7
"#33 Curta, Nick",23,55,108,0.509,2.4,4.7
"#04 Porter, Mike",22,37,93,0.398,1.7,4.2
"#22 Balcom, Nathan",23,36,92,0.391,1.6,4.0
"#03 Boehm, Griffin",23,30,47,0.638,1.3,2.0
"#02 Phillip, Ikaika",21,28,77,0.364,1.3,3.7
"#15 Jacobson, Noah",23,13,44,0.295,0.6,1.9
"#21 Bynum , Reggie",17,10,19,0.526,0.6,1.1
"#44 Gulve, Anthony",22,9,21,0.429,0.4,1.0
"#11 King, Gus",23,9,41,0.22,0.4,1.8
"#10 Ward, Henry",17,9,21,0.429,0.5,1.2
"#25 Conran, Jake",23,8,24,0.333,0.3,1.0
"#24 Redhead, Andrew",8,3,6,0.5,0.4,0.8
"#23 Leder, Jacob",7,1,8,0.125,0.1,1.1
"#21 Marks, Jermaine",1,1,1,1.0,1.0,1.0
"#42 Schroeder, Mike",5,1,3,0.333,0.2,0.6
"#54 Zajac, Jakub",5,1,2,0.5,0.2,0.4
