Name,GP,PF,PF/G
"#02 Phillip, Ikaika",21,76,3.6
"#35 Ekstrand, Jacob",23,63,2.7
"#04 Porter, Mike",22,56,2.5
"#05 Curta, Vinny",23,53,2.3
"#33 Curta, Nick",23,47,2.0
"#03 Boehm, Griffin",23,42,1.8
"#13 Johnson, Ky-Sean",23,41,1.8
"#25 Conran, Jake",23,36,1.6
"#45 Cullinane, Sean",23,32,1.4
"#12 Marx, Julian",23,32,1.4
"#22 Balcom, Nathan",23,29,1.3
"#15 Jacobson, Noah",23,29,1.3
"#21 Bynum , Reggie",17,25,1.5
"#11 King, Gus",23,22,1.0
"#10 Ward, Henry",17,10,0.6
"#44 Gulve, Anthony",22,6,0.3
"#24 Redhead, Andrew",8,4,0.5
"#54 Zajac, Jakub",5,3,0.6
"#23 Leder, Jacob",7,1,0.1
"#42 Schroeder, Mike",5,1,0.2
