Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#03 Boehm, Griffin",23,116,5.0,58,2.5,58,2.5
#TM Team,23,105,4.6,61,2.7,44,1.9
"#33 Curta, Nick",23,104,4.5,55,2.4,49,2.1
"#35 Ekstrand, Jacob",23,87,3.8,28,1.2,59,2.6
"#05 Curta, Vinny",23,67,2.9,25,1.1,42,1.8
"#22 Balcom, Nathan",23,55,2.4,31,1.3,24,1.0
"#02 Phillip, Ikaika",21,55,2.6,17,0.8,38,1.8
"#25 Conran, Jake",23,50,2.2,16,0.7,34,1.5
"#04 Porter, Mike",22,44,2.0,22,1.0,22,1.0
"#12 Marx, Julian",23,37,1.6,9,0.4,28,1.2
"#45 Cullinane, Sean",23,35,1.5,21,0.9,14,0.6
"#13 Johnson, Ky-Sean",23,28,1.2,13,0.6,15,0.7
"#15 Jacobson, Noah",23,26,1.1,12,0.5,14,0.6
"#11 King, Gus",23,18,0.8,10,0.4,8,0.3
"#21 Bynum , Reggie",17,14,0.8,10,0.6,4,0.2
"#44 Gulve, Anthony",22,11,0.5,6,0.3,5,0.2
"#42 Schroeder, Mike",5,8,1.6,1,0.2,7,1.4
"#24 Redhead, Andrew",8,7,0.9,3,0.4,4,0.5
"#10 Ward, Henry",17,5,0.3,3,0.2,2,0.1
"#23 Leder, Jacob",7,1,0.1,1,0.1,0,0.0
"#54 Zajac, Jakub",5,1,0.2,0,0.0,1,0.2
