Name,GP,Pts,Pts/G
"#05 Curta, Vinny",23,579,25.2
"#12 Marx, Julian",23,514,22.3
"#13 Johnson, Ky-Sean",23,339,14.7
"#35 Ekstrand, Jacob",23,218,9.5
"#45 Cullinane, Sean",23,208,9.0
"#33 Curta, Nick",23,148,6.4
"#04 Porter, Mike",22,144,6.5
"#22 Balcom, Nathan",23,114,5.0
"#02 Phillip, Ikaika",21,103,4.9
"#03 Boehm, Griffin",23,78,3.4
"#15 Jacobson, Noah",23,46,2.0
"#21 Bynum , Reggie",17,37,2.2
"#44 Gulve, Anthony",22,27,1.2
"#11 King, Gus",23,27,1.2
"#10 Ward, Henry",17,24,1.4
"#25 Conran, Jake",23,21,0.9
"#24 Redhead, Andrew",8,8,1.0
"#23 Leder, Jacob",7,4,0.6
"#21 Marks, Jermaine",1,3,3.0
"#42 Schroeder, Mike",5,3,0.6
"#54 Zajac, Jakub",5,3,0.6
#TM Team,23,2,0.1
