#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
5.0,"Curta, Vinny 05 Curta, Vinny",23,10.0,422,184,385,0.478,36,121,0.298,175,226,0.774,579,25.2
12.0,"Marx, Julian 12 Marx, Julian",23,15.0,425,167,386,0.433,110,280,0.393,70,76,0.921,514,22.3
13.0,"Johnson, Ky-Sean 13 Johnson, Ky-Sean",23,13.0,362,112,265,0.423,49,153,0.32,66,87,0.759,339,14.7
35.0,"Ekstrand, Jacob 35 Ekstrand, Jacob",23,12.0,353,70,192,0.365,55,166,0.331,23,31,0.742,218,9.5
45.0,"Cullinane, Sean 45 Cullinane, Sean",23,7.0,343,69,155,0.445,65,146,0.445,5,7,0.714,208,9.0
4.0,"Porter, Mike 04 Porter, Mike",22,11.0,350,37,93,0.398,24,65,0.369,46,64,0.719,144,6.5
33.0,"Curta, Nick 33 Curta, Nick",23,9.0,375,55,108,0.509,16,41,0.39,22,32,0.688,148,6.4
22.0,"Balcom, Nathan 22 Balcom, Nathan",23,12.0,366,36,92,0.391,33,84,0.393,9,14,0.643,114,5.0
2.0,"Phillip, Ikaika 02 Phillip, Ikaika",21,7.0,303,28,77,0.364,17,51,0.333,30,33,0.909,103,4.9
3.0,"Boehm, Griffin 03 Boehm, Griffin",23,14.0,364,30,47,0.638,1,5,0.2,17,30,0.567,78,3.4
21.0,"Marks, Jermaine 21 Marks, Jermaine",1,1.0,2,1,1,1.0,1,1,1.0,0,0,0.0,3,3.0
21.0,"Bynum , Reggie 21 Bynum , Reggie",17,0.0,144,10,19,0.526,2,8,0.25,15,21,0.714,37,2.2
15.0,"Jacobson, Noah 15 Jacobson, Noah",23,0.0,180,13,44,0.295,7,23,0.304,13,28,0.464,46,2.0
44.0,"Gulve, Anthony 44 Gulve, Anthony",22,1.0,143,9,21,0.429,9,20,0.45,0,0,0.0,27,1.2
10.0,"Ward, Henry 10 Ward, Henry",17,1.0,76,9,21,0.429,6,17,0.353,0,2,0.0,24,1.4
11.0,"King, Gus 11 King, Gus",23,0.0,137,9,41,0.22,8,36,0.222,1,2,0.5,27,1.2
24.0,"Redhead, Andrew 24 Redhead, Andrew",8,0.0,33,3,6,0.5,1,3,0.333,1,1,1.0,8,1.0
25.0,"Conran, Jake 25 Conran, Jake",23,2.0,200,8,24,0.333,4,15,0.267,1,4,0.25,21,0.9
23.0,"Leder, Jacob 23 Leder, Jacob",7,0.0,20,1,8,0.125,0,5,0.0,2,2,1.0,4,0.6
42.0,"Schroeder, Mike 42 Schroeder, Mike",5,0.0,16,1,3,0.333,1,3,0.333,0,0,0.0,3,0.6
54.0,"Zajac, Jakub 54 Zajac, Jakub",5,0.0,11,1,2,0.5,1,2,0.5,0,0,0.0,3,0.6
,Total,23,,4625,853,1990,0.429,446,1245,0.358,496,660,0.752,2650,115.22
,Opponents,23,,4625,915,1539,0.595,73,233,0.313,495,731,0.677,2398,104.26
