Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#05 Curta, Vinny",23,175,226,0.774,7.6,9.8
"#12 Marx, Julian",23,70,76,0.921,3.0,3.3
"#13 Johnson, Ky-Sean",23,66,87,0.759,2.9,3.8
"#04 Porter, Mike",22,46,64,0.719,2.1,2.9
"#02 Phillip, Ikaika",21,30,33,0.909,1.4,1.6
"#35 Ekstrand, Jacob",23,23,31,0.742,1.0,1.3
"#33 Curta, Nick",23,22,32,0.688,1.0,1.4
"#03 Boehm, Griffin",23,17,30,0.567,0.7,1.3
"#21 Bynum , Reggie",17,15,21,0.714,0.9,1.2
"#15 Jacobson, Noah",23,13,28,0.464,0.6,1.2
"#22 Balcom, Nathan",23,9,14,0.643,0.4,0.6
"#45 Cullinane, Sean",23,5,7,0.714,0.2,0.3
"#23 Leder, Jacob",7,2,2,1.0,0.3,0.3
"#25 Conran, Jake",23,1,4,0.25,0.0,0.2
"#11 King, Gus",23,1,2,0.5,0.0,0.1
"#24 Redhead, Andrew",8,1,1,1.0,0.1,0.1
"#10 Ward, Henry",17,0,2,0.0,0.0,0.1
