Statistic,High,Opponent
POINTS,167,Silver Lake (11/19/16)
FIELD GOALS MADE,56,Silver Lake (11/19/16)
FIELD GOAL ATTEMPTS,125,Silver Lake (11/19/16)
3 PT FIELD GOALS MADE,33,Knox (02/08/17)
3 PT FG ATTEMPTS,81,Knox (02/08/17)
FREE THROWS MADE,54,Greenville (11/26/16)
FREE THROW ATTEMPTS,71,Greenville (11/26/16)
REBOUNDS,55,Knox (02/08/17)
ASSISTS,39,Knox (02/08/17)
STEALS,25,Lawrence University (12/10/16)
BLOCKED SHOTS,9,Saint Norbert (02/11/17)
TURNOVERS,33,Greenville (11/26/16)
FOULS,37,Central (11/23/16)
