Statistic,High,Player,Opponent
POINTS,51,Julian Marx,Central (11/23/16)
FIELD GOALS MADE,15,Julian Marx,Central (11/23/16)
FIELD GOAL ATTEMPTS,28,Julian Marx,Central (11/23/16)
3 PT FIELD GOALS MADE,15,Julian Marx,Central (11/23/16)
3 PT FG ATTEMPTS,24,Julian Marx,Central (11/23/16)
FREE THROWS MADE,16,Vinny Curta,Central (11/23/16); Lawrence University (12/10/16)
FREE THROW ATTEMPTS,23,Vinny Curta,Lawrence University (12/10/16)
REBOUNDS,12,Griffin Boehm,Greenville (11/26/16)
ASSISTS,11,Vinny Curta,Lawrence (01/28/17); Knox College (02/14/17)
STEALS,5,Ikaika Phillip; Vinny Curta,Cornell College (12/07/16); Lawrence (01/28/17); Lake Forest College (01/13/17); Monmouth College (01/18/17)
BLOCKED SHOTS,6,Nick Curta,Illinois College (02/04/17)
TURNOVERS,12,Vinny Curta,Greenville (11/26/16)
FOULS,5,Ikaika Phillip; Jacob Ekstrand; Ky-Sean Johnson; Vinny Curta,Greenville (11/26/16); Cornell College (12/07/16); Wartburg College (11/15/16); Central (11/23/16); Lake Forest College (01/13/17); Monmouth College (01/18/17); Cornell College (01/25/17)
