Name,GP,BLK,BLK/G
"#33 Curta, Nick",23,36,1.6
"#35 Ekstrand, Jacob",23,16,0.7
"#25 Conran, Jake",23,7,0.3
"#05 Curta, Vinny",23,4,0.2
"#21 Bynum , Reggie",17,3,0.2
"#22 Balcom, Nathan",23,2,0.1
"#02 Phillip, Ikaika",21,2,0.1
"#04 Porter, Mike",22,2,0.1
"#03 Boehm, Griffin",23,1,0.0
"#15 Jacobson, Noah",23,1,0.0
"#13 Johnson, Ky-Sean",23,1,0.0
"#24 Redhead, Andrew",8,1,0.1
