Name,GP,STL,STL/G
"#05 Curta, Vinny",23,45,2.0
"#35 Ekstrand, Jacob",23,35,1.5
"#33 Curta, Nick",23,29,1.3
"#22 Balcom, Nathan",23,28,1.2
"#02 Phillip, Ikaika",21,26,1.2
"#04 Porter, Mike",22,25,1.1
"#45 Cullinane, Sean",23,24,1.0
"#13 Johnson, Ky-Sean",23,23,1.0
"#12 Marx, Julian",23,19,0.8
"#03 Boehm, Griffin",23,18,0.8
"#15 Jacobson, Noah",23,18,0.8
"#21 Bynum , Reggie",17,9,0.5
"#25 Conran, Jake",23,8,0.3
"#11 King, Gus",23,7,0.3
"#44 Gulve, Anthony",22,5,0.2
"#24 Redhead, Andrew",8,1,0.1
"#10 Ward, Henry",17,1,0.1
