0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Knox Fall Invitational,"Oct 2-3, 2021",2,76-79=155,+11,t-11th/41
Central Fall Classic,"Oct 4-5, 2021",2,83-78=161,+17,t-11th/74
Grinnell vs. Pima CC,"March 23, 2022",1,75,+5,t-5th/14
Jim Wetherbee Memorial,"Mar 26-27, 2022",2,83-79=162,+18,t-47th/120
Wartburg Spring Invitational,"Apr 1, 2022",1,80,+9,t-58th/88
Iowa Central Spring Invite,"Apr 9-10, 2022",2,77--4=77,+6,
The Verhille Invitational,"Apr 21, 2022",1,83,+11,t-65th/102
2022 SLIAC Championships,"Apr 25-26, 2022",3,79-79-82=240,+24,t-21st/54
SEASON TOTALS,SEASON TOTALS,13,1033 Avg. 79.5,+8,-
