0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Simpson Invitational,"Sept. 22, 2021",1,82,+11,t-19th/62
Knox Fall Invitational,"Oct 2-3, 2021",2,82-84=166,+22,31st/41
Central Fall Classic,"Oct 4-5, 2021",2,87-85=172,+28,34th/74
Grinnell vs. Pima CC,"March 23, 2022",1,77,+7,8th/14
Jim Wetherbee Memorial,"Mar 26-27, 2022",2,82-77=159,+15,t-38th/120
Wartburg Spring Invitational,"Apr 1, 2022",1,77,+6,t-42nd/88
Iowa Central Spring Invite,"Apr 9-10, 2022",2,78-77=155,+13,2nd/59
The Verhille Invitational,"Apr 21, 2022",1,82,+10,t-59th/102
2022 SLIAC Championships,"Apr 25-26, 2022",3,77-87-83=247,+31,t-31st/54
SEASON TOTALS,SEASON TOTALS,15,1217 Avg. 81.1,+10,-
