0,1,2,3,4,5
Tournament,Date(s),Rounds,Scores,Par,Rank
Simpson Invitational,"Sept. 22, 2021",1,86,+15,t-38th/62
Knox Fall Invitational,"Oct 2-3, 2021",2,74-77=151,+7,t-4th/41
Central Fall Classic,"Oct 4-5, 2021",2,82-78=160,+16,t-6th/74
Grinnell vs. Pima CC,"March 23, 2022",1,81,+11,t-9th/14
Jim Wetherbee Memorial,"Mar 26-27, 2022",2,87-80=167,+23,t-76th/120
Wartburg Spring Invitational,"Apr 1, 2022",1,84,+13,77th/88
Iowa Central Spring Invite,"Apr 9-10, 2022",2,77-71=148,+6,1st/59
The Verhille Invitational,"Apr 21, 2022",1,80,+8,t-45th/102
2022 SLIAC Championships,"Apr 25-26, 2022",3,82-81-77=240,+24,t-21st/54
SEASON TOTALS,SEASON TOTALS,15,1197 Avg. 79.8,+8,-
