Statistic,High,Opponent
INNINGS PITCHED,9.0,UW-Oshkosh (3/21/2018); Illinois College (4/8/2018); Monmouth College (4/17/2018); Monmouth College (4/17/2018); Beloit College (4/22/2018)
RUNS ALLOWED,19.0,Univ. of Chicago (5/6/2018)
EARNED RUNS,18.0,Univ. of Chicago (5/6/2018)
WALKS ALLOWED,8.0,Monmouth College (4/17/2018)
STRIKEOUTS,13.0,Knox College (4/29/2018)
HITS ALLOWED,22.0,UW-Whitewater (3/25/2018)
DOUBLES ALLOWED,6.0,UW-Stevens Point (3/25/2018)
TRIPLES ALLOWED,4.0,Monmouth College (4/17/2018)
HOME RUNS ALLOWED,4.0,UW-Whitewater (3/25/2018)
WILD PITCHES,4.0,Hendrix (3/18/2018)
HIT BATTERS,5.0,Univ. of Chicago (5/5/2018); Illinois Wesleyan (3/3/2018)
