Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HBP,IBB,W,L,SV,ERA
3/3/2018,vs,Illinois Wesleyan,L,5-6,9.1,11,6,5,3,7,3,0,0,0,2,5,0,0,1,0,4.82
3/4/2018,vs,Univ. of Chicago,L,0-16,6.0,17,16,13,3,4,1,0,1,1,0,3,0,0,2,0,19.5
3/17/2018,at,Hendrix,L,0-5,6.0,8,5,5,2,5,0,1,0,0,1,1,0,0,3,0,7.5
3/17/2018,at,Hendrix,L,3-5,6.0,8,5,5,1,4,1,0,0,1,0,1,0,0,4,0,7.5
3/18/2018,at,Hendrix,L,0-14,6.0,17,14,13,6,4,2,0,1,4,0,2,0,0,5,0,19.5
3/18/2018,at,Hendrix,W,7-5,7.0,12,5,4,0,5,1,0,0,1,0,1,0,1,5,1,5.14
3/21/2018,vs,UW-Oshkosh,L,0-8,9.0,13,8,7,2,3,2,2,2,0,0,1,0,1,6,0,7.0
3/22/2018,vs,Elmhurst College,L,3-4,8.0,8,4,3,2,10,2,0,0,0,0,1,0,1,7,0,3.38
3/24/2018,vs,Worcester State,W,9-3,7.0,4,3,3,3,8,1,0,0,0,0,0,0,2,7,0,3.86
3/24/2018,vs,Worcester State,W,5-2,7.0,10,2,2,0,7,1,0,0,2,0,0,0,3,7,1,2.57
3/25/2018,vs,UW-Whitewater,L,4-16,7.0,22,16,13,1,3,3,3,4,2,0,2,0,3,8,0,16.71
3/25/2018,vs,UW-Stevens Point,L,10-13,8.0,14,13,12,4,4,6,0,0,0,0,1,0,3,9,0,13.5
3/26/2018,vs,St. Thomas,L,1-9,8.0,14,9,4,3,5,1,1,1,0,0,0,0,3,10,0,4.5
3/30/2018,,Cornell College,W,16-4,7.0,7,4,4,0,4,1,0,1,0,0,1,0,4,10,0,5.14
3/30/2018,,Cornell College,W,14-4,7.0,6,4,4,2,7,1,0,2,3,1,1,0,5,10,0,5.14
3/31/2018,at,Cornell College,W,8-7,9.0,11,7,6,3,9,2,0,2,1,0,2,0,6,10,0,6.0
4/2/2018,at,Cornell College,L,3-5,8.0,7,5,5,1,11,2,0,0,1,0,1,1,6,11,0,5.63
4/5/2018,at,Illinois College,L,3-9,8.0,17,9,7,2,4,4,0,1,0,0,1,0,6,12,0,7.88
4/5/2018,at,Illinois College,W,8-6,9.0,11,6,6,0,9,2,0,2,1,0,1,0,7,12,1,6.0
4/8/2018,at,Illinois College,W,10-4,9.0,12,4,3,1,5,0,0,1,0,0,0,0,8,12,0,3.0
4/12/2018,at,Monmouth College,W,5-2,9.0,6,2,1,3,4,1,0,0,1,1,0,0,9,12,1,1.0
4/12/2018,at,Monmouth College,W,16-10,9.0,14,10,9,5,8,3,1,0,2,0,0,0,10,12,0,9.0
4/17/2018,,Monmouth College,L,5-13,9.0,12,13,12,8,10,1,4,0,2,0,0,0,10,13,0,12.0
4/17/2018,,Monmouth College,L,1-6,9.0,7,6,6,5,7,2,0,2,2,0,0,1,10,14,0,6.0
4/21/2018,vs,St. Norbert College,W,5-3,9.0,8,3,3,2,4,0,0,0,1,0,0,0,11,14,1,3.0
4/21/2018,vs,Ripon College,W,10-7,9.0,14,7,3,0,5,1,1,0,0,0,0,0,12,14,1,3.0
4/22/2018,vs,Beloit College,L,6-7,9.0,12,7,5,0,5,1,1,0,0,0,2,0,12,15,0,5.0
4/28/2018,,Knox,W,11-0,7.0,2,0,0,0,5,1,0,0,0,0,0,0,13,15,0,0.0
4/28/2018,,Knox,W,13-10,9.0,14,10,9,2,10,2,0,1,1,0,0,0,14,15,0,9.0
4/29/2018,at,Knox College,W,14-13,9.0,11,13,12,6,13,1,1,1,0,0,3,0,15,15,1,12.0
4/29/2018,at,Knox College,W,15-7,9.0,15,7,7,3,8,1,1,1,1,0,0,0,16,15,0,7.0
5/5/2018,,Luther College,L,10-14,9.0,16,14,8,5,6,5,0,2,1,0,0,0,16,16,0,8.0
5/5/2018,,Univ. of Chicago,L,3-11,9.0,12,11,11,7,4,1,1,2,0,0,5,0,16,17,0,11.0
5/6/2018,,Univ. of Chicago,L,4-5,7.0,7,5,5,2,5,0,1,0,1,0,0,0,16,18,0,6.43
5/6/2018,,Univ. of Chicago,L,9-19,7.0,17,19,18,7,4,5,1,0,1,1,4,0,16,19,0,23.14
5/7/2018,at,Illinois College,L,4-6,9.0,14,6,6,5,9,2,0,0,1,0,1,0,16,20,0,6.0
5/11/2018,vs,St. Norbert College,L,11-12,8.2,15,12,12,1,4,4,0,0,0,0,3,0,16,21,0,12.46
5/11/2018,vs,Lawrence University,W,12-11,9.0,17,11,9,4,7,5,0,0,3,0,2,2,17,21,0,9.0
5/12/2018,vs,St. Norbert College,L,0-4,9.0,5,4,4,6,9,1,0,0,2,0,4,1,17,22,0,4.0
Total,,,,263-305,315.3,447,305,264,110,245,73,19,27,36,6,49,5,17,22,7,
