#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,Bio Link
23.0,"Koehler, Chad 23 Koehler, Chad",0.444,1.056,3-2,9,3,4,1,0,0,1,5,0.556,1,0,1,0,0.5,0,0,0-0,View Bio
12.0,"Zaroban, Nathan 12Zaroban, Nathan",0.42,1.129,19-19,69,24,29,9,0,1,13,41,0.594,10,7,4,0,0.535,0,3,8-10,View Bio
18.0,"Galanek, Sam 18Galanek, Sam",0.407,1.121,19-19,86,17,35,11,0,4,39,58,0.674,5,2,6,3,0.447,1,2,4-5,View Bio
24.0,"Comiskey, Shane 24Comiskey, Shane",0.4,0.9,11-1,5,1,2,0,0,0,2,2,0.4,0,1,1,0,0.5,0,1,1-1,View Bio
26.0,"Shults, Andrew 26 Shults, Andrew",0.397,1.084,19-19,73,32,29,7,0,1,12,39,0.534,17,9,5,0,0.55,1,1,18-18,View Bio
4.0,"Gampell, Carson 4 Gampell, Carson",0.348,0.888,16-16,66,12,23,4,1,1,19,32,0.485,6,0,12,1,0.403,0,1,1-1,View Bio
36.0,"Booth, Jared 36 Booth, Jared",0.342,0.986,19-19,76,18,26,5,2,3,17,44,0.579,5,4,12,1,0.407,1,2,4-4,View Bio
43.0,"McNitt, Quinton 43 McNitt, Quinton",0.333,0.812,19-19,66,19,22,1,0,0,9,23,0.348,8,9,5,3,0.464,1,0,4-4,View Bio
50.0,"Taylor, Zeke 50 Taylor, Zeke",0.333,0.666,7-0,3,0,1,0,0,0,1,1,0.333,0,0,1,0,0.333,0,1,0-1,View Bio
16.0,"Wong, Benjamin 16Wong, Benjamin",0.314,0.767,19-19,70,16,22,2,0,0,9,24,0.343,9,5,9,2,0.424,1,2,2-2,View Bio
33.0,"Cabrera, Julian 33 Cabrera, Julian",0.28,0.89,15-14,50,7,14,4,0,2,6,24,0.48,7,4,16,0,0.41,0,0,1-1,View Bio
42.0,"Slattery, Michael 42Slattery, Michael",0.222,0.544,7-2,18,2,4,2,0,0,4,6,0.333,0,0,3,2,0.211,1,1,0-0,View Bio
17.0,"Weaver, Brad 17Weaver, Brad",0.217,0.688,17-17,60,13,13,0,1,2,10,21,0.35,8,3,18,0,0.338,0,3,4-4,View Bio
9.0,"Daniel, Noah 9 Daniel, Noah",0.143,0.343,4-3,14,1,2,0,0,0,0,2,0.143,1,0,4,1,0.2,0,0,0-0,View Bio
31.0,"Hager, Jack 31 Hager, Jack",0.0,0.0,3-1,5,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
20.0,"LeSher, Brady 20 LeSher, Brady",0.0,0.0,1-0,2,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
27.0,"Rosol, Ryan 27 Rosol, Ryan",0.0,0.333,1-1,2,0,0,0,0,0,0,0,0.0,0,1,1,0,0.333,0,0,0-0,View Bio
28.0,"Guieb, Riley 28 Guieb, Riley",0.0,0.333,4-0,2,1,0,0,0,0,0,0,0.0,1,0,1,0,0.333,0,0,0-0,View Bio
34.0,"Reilly, Vince 34 Reilly, Vince",0.0,0.0,1-0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,View Bio
29.0,"LaMotte, Sam 29 LaMotte, Sam",0.0,0.0,5-4,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
,Totals,0.334,0.909,19-19,677,167,226,46,4,14,142,322,0.476,78,45,102,13,0.433,6,17,47-51,
,Opponents,0.298,0.783,19-19,672,123,200,28,9,14,109,288,0.429,48,13,137,3,0.354,5,8,31-38,
