#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
12.0,"Zaroban, Nathan 12 Zaroban, Nathan",0.389,1.137,38-38,131,42,51,13,2,6,30,86,0.656,13,11,13,0,0.481,1,5,10-13,View Bio
18.0,"Galanek, Sam 18 Galanek, Sam",0.371,0.991,38-38,151,29,56,15,0,5,50,86,0.57,10,6,16,3,0.421,4,2,4-6,View Bio
26.0,"Shults, Andrew 26 Shults, Andrew",0.37,0.983,38-37,138,45,51,11,1,1,20,67,0.486,26,11,12,1,0.497,2,2,27-30,View Bio
4.0,"Gampell, Carson 4 Gampell, Carson",0.317,0.848,35-34,126,18,40,9,1,3,31,60,0.476,10,1,29,1,0.372,0,2,1-1,View Bio
43.0,"McNitt, Quinton 43 McNitt, Quinton",0.306,0.741,34-33,111,26,34,1,0,0,14,35,0.315,11,13,10,4,0.426,1,1,5-5,View Bio
36.0,"Booth, Jared 36 Booth, Jared",0.29,0.81,36-36,131,23,38,9,2,3,24,60,0.458,9,4,29,1,0.352,1,4,5-5,View Bio
16.0,"Wong, Benjamin 16 Wong, Benjamin",0.25,0.641,36-35,120,21,30,3,0,0,16,33,0.275,15,8,13,2,0.366,2,3,3-3,View Bio
17.0,"Weaver, Brad 17 Weaver, Brad",0.229,0.652,31-31,109,19,25,5,1,2,15,38,0.349,9,3,31,2,0.303,1,4,6-6,View Bio
27.0,"Rosol, Ryan 27 Rosol, Ryan",0.4,0.9,4-1,5,1,2,0,0,0,0,2,0.4,0,1,2,0,0.5,0,0,0-0,View Bio
28.0,"Guieb, Riley 28 Guieb, Riley",0.379,1.062,17-10,29,5,11,4,0,1,5,18,0.621,3,1,8,1,0.441,1,2,3-3,View Bio
23.0,"Koehler, Chad 23 Koehler, Chad",0.318,0.757,10-3,22,5,7,2,0,0,2,9,0.409,1,0,4,0,0.348,0,0,0-0,View Bio
7.0,"Levens, Ravi 7 Levens, Ravi",0.3,0.762,4-4,10,2,3,0,0,0,0,3,0.3,3,0,0,1,0.462,0,0,0-0,View Bio
33.0,"Cabrera, Julian 33 Cabrera, Julian",0.264,0.808,25-21,72,9,19,5,0,2,7,30,0.417,11,4,20,2,0.391,0,0,1-1,View Bio
9.0,"Daniel, Noah 9 Daniel, Noah",0.229,0.746,13-11,35,4,8,0,1,2,3,16,0.457,2,1,9,1,0.289,0,0,0-0,View Bio
24.0,"Comiskey, Shane 24 Comiskey, Shane",0.222,0.555,23-3,18,4,4,0,0,0,2,4,0.222,2,1,8,0,0.333,0,1,2-2,View Bio
42.0,"Slattery, Michael 42 Slattery, Michael",0.182,0.449,20-6,33,3,6,3,0,0,4,9,0.273,0,0,6,2,0.176,1,1,0-0,View Bio
50.0,"Taylor, Zeke 50 Taylor, Zeke",0.167,0.334,11-0,6,1,1,0,0,0,1,1,0.167,0,0,2,0,0.167,0,1,0-1,View Bio
3.0,"Czajkowski, Kory 3 Czajkowski, Kory",0.133,0.368,9-4,15,1,2,0,0,0,0,2,0.133,1,1,9,0,0.235,0,0,2-2,View Bio
20.0,"LeSher, Brady 20 LeSher, Brady",0.111,0.311,5-1,9,0,1,0,0,0,0,1,0.111,1,0,6,0,0.2,0,0,0-0,View Bio
31.0,"Hager, Jack 31 Hager, Jack",0.056,0.449,12-5,18,1,1,0,0,1,2,4,0.222,4,0,10,0,0.227,0,0,0-1,View Bio
34.0,"Reilly, Vince 34 Reilly, Vince",0.0,0.0,2-0,2,0,0,0,0,0,0,0,0.0,0,0,2,0,0.0,0,0,0-0,View Bio
6.0,"Lewis, Avery 6 Lewis, Avery",0.0,0.0,2-0,1,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
,14  14,0.0,0.0,2-0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,
2.0,"Galang, Ryan 2 Galang, Ryan",0.0,0.0,2-0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
29.0,"LaMotte, Sam 29 LaMotte, Sam",0.0,0.0,9-8,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
46.0,"Jones, Zack 46 Jones, Zack",0.0,0.0,3-0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,0,0-0,View Bio
,Totals,0.302,0.828,39-39,1292,263,390,80,8,26,226,564,0.437,131,66,239,21,0.391,14,28,69-79,
,Opponents,0.333,0.873,39-39,1344,305,447,73,19,27,278,639,0.475,110,49,245,18,0.398,20,15,67-80,
