Player,2,3,4,5+,Total
"Galanek, Sam",11,5,2,-,18
"Shults, Andrew",8,6,1,-,15
"Zaroban, Nathan",8,5,-,1,14
"Gampell, Carson",8,1,3,-,12
"Booth, Jared",6,3,2,-,11
"McNitt, Quinton",7,3,-,-,10
"Wong, Benjamin",5,2,-,-,7
"Cabrera, Julian",5,-,-,-,5
"Weaver, Brad",2,2,-,-,4
"Guieb, Riley",3,1,-,-,4
"Koehler, Chad",3,-,-,-,3
"Daniel, Noah",2,-,-,-,2
"Comiskey, Shane",2,-,-,-,2
TEAM,70,28,8,1,107
