Statistic,High,Player,Opponent
INNINGS PITCHED,8.2,Brock Weirather,Illinois College (4/5/2018); Monmouth College (4/12/2018)
RUNS ALLOWED,9.0,Brock Weirather; Shane Comiskey,UW-Whitewater (3/25/2018); Luther College (5/5/2018)
EARNED RUNS,7.0,Thompson Rick,St. Norbert College (5/11/2018)
WALKS ALLOWED,3.0,Andrew Mack; Jacob Morsch; Shane Comiskey; Ryan Chang,Monmouth College (4/17/2018); Monmouth College (4/17/2018); Univ. of Chicago (5/5/2018); Luther College (5/5/2018); Illinois College (5/7/2018)
STRIKEOUTS,9.0,Jacob Morsch,Cornell College (4/2/2018)
HITS ALLOWED,14.0,Brock Weirather; Sam LaMotte,UW-Whitewater (3/25/2018); Illinois College (4/5/2018)
DOUBLES ALLOWED,4.0,Sam LaMotte,Lawrence University (5/11/2018)
TRIPLES ALLOWED,2.0,Charles Carr,UW-Whitewater (3/25/2018)
HOME RUNS ALLOWED,3.0,Brock Weirather,UW-Whitewater (3/25/2018)
WILD PITCHES,2.0,Brock Weirather; Daniel Lubelfeld; Nate Lu,UW-Whitewater (3/25/2018); Cornell College (3/30/2018); Lawrence University (5/11/2018); Hendrix (3/18/2018)
HIT BATTERS,3.0,Jacob Morsch; Charles Carr,St. Norbert College (5/12/2018); St. Norbert College (5/11/2018)
