Statistic,High,Player,Opponent
AT BATS,6,Sam Galanek; Andrew Shults,Illinois Wesleyan (3/3/2018); UW-Stevens Point (3/25/2018); Cornell College (3/31/2018); Monmouth College (4/12/2018); Ripon College (4/21/2018)
RUNS SCORED,5,Andrew Shults,Monmouth College (4/12/2018)
HITS,5,Nathan Zaroban,Knox College (4/29/2018)
RBIS,7,Sam Galanek,Knox College (4/29/2018)
DOUBLES,2,Nathan Zaroban; S. Galanek; Riley Guieb; Brad Weaver,Cornell College (3/30/2018); Knox (4/28/2018); Knox (4/28/2018); Lawrence University (5/11/2018); Hendrix (3/18/2018)
TRIPLES,1,Andrew Shults; Carson Gampell; Brad Weaver; Jared Booth; Nathan Zaroban,Worcester State (3/24/2018); Cornell College (3/30/2018); Monmouth College (4/17/2018); Illinois College (5/7/2018); Elmhurst College (3/22/2018)
HOME RUNS,2,Nathan Zaroban; Noah Daniel; Sam Galanek,Univ. of Chicago (5/6/2018); Univ. of Chicago (5/6/2018); Knox College (4/29/2018)
WALKS,3,Andrew Shults,Illinois College (4/5/2018)
STRIKEOUTS,4,Noah Daniel,Cornell College (3/30/2018)
SAC HITS,1,Brad Weaver; Carson Gampell; Sam Galanek; Shane Comiskey,UW-Oshkosh (3/21/2018); Worcester State (3/24/2018); Illinois College (4/8/2018); Monmouth College (4/17/2018); Monmouth College (4/17/2018)
SAC FLIES,1,Brad Weaver; Sam Galanek; Jared Booth; Andrew Shults,Worcester State (3/24/2018); Cornell College (3/30/2018); Illinois College (4/8/2018); Monmouth College (4/17/2018); Luther College (5/5/2018)
STOLEN BASES,4,A. Shults,Knox (4/28/2018)
HIT BY PITCH,3,Julian Cabrera,Cornell College (3/30/2018)
CAUGHT STEALING,1,Andrew Shults; Sam Galanek; Nathan Zaroban,UW-Oshkosh (3/21/2018); Univ. of Chicago (5/6/2018); Illinois College (5/7/2018); Hendrix (3/18/2018); Elmhurst College (3/22/2018)
HIT INTO DP,2,Michael Slattery,Illinois College (4/5/2018)
