Statistic,High,Opponent
AT BATS,47,Knox College (4/29/2018)
RUNS SCORED,16,Cornell College (3/30/2018); Monmouth College (4/12/2018)
HITS,19,Knox College (4/29/2018)
RBIS,15,Monmouth College (4/12/2018)
DOUBLES,7,Knox College (4/29/2018)
TRIPLES,1,Worcester State (3/24/2018); Cornell College (3/30/2018); Monmouth College (4/17/2018); Illinois College (5/7/2018); Elmhurst College (3/22/2018)
HOME RUNS,4,Univ. of Chicago (5/6/2018)
WALKS,8,Illinois College (4/5/2018)
STRIKEOUTS,15,Univ. of Chicago (3/4/2018)
SAC HITS,3,Monmouth College (4/12/2018)
SAC FLIES,2,Univ. of Chicago (5/6/2018)
STOLEN BASES,9,Knox College (4/29/2018)
HIT BY PITCH,6,Illinois College (4/8/2018)
CAUGHT STEALING,2,Illinois College (5/7/2018); Elmhurst College (3/22/2018)
HIT INTO DP,3,Illinois College (4/8/2018); Monmouth College (4/17/2018)
