Date,Time,At,Opponent,Location,TV,Radio,Result,Links
"February 10, 2007 (Saturday)",3:00 p.m.,Home,Bethany Lutheran,Burnsville Tennis Club,,,"W,8-1",
"February 16, 2007 (Friday)",6:00 p.m.,Home,St. Olaf,Burnsville Tennis Club,,,"L,3-6",
"February 17, 2007 (Saturday)",2:00 p.m.,Home,St. Catherine,Burnsville Tennis Club,,,"W,5-4",
"February 23, 2007 (Friday)",6:00 p.m.,Away,Carleton,Owatonna Tennis Club,,,"L,2-7",
"February 24, 2007 (Saturday)",11:00 a.m.,Away,St. Mary's,Winona,,,"W,5-4",
"March 11, 2007 (Sunday)",12:00 p.m.,Neutral,St. Michael's (Vt.),"Hilton Head, S.C.",,,"W,5-4",
"March 12, 2007 (Monday)",12:00 p.m.,Neutral,Ashland (Ohio),"Hilton Head, S.C.",,,"L,3-6",
"March 13, 2007 (Tuesday)",6:00 p.m.,Neutral,Nazareth (N.Y.),"Hilton Head, S.C.",,,"L,4-5",
"March 14, 2007 (Wednesday)",12:00 p.m.,Neutral,Slippery Rock (Pa.),"Hilton Head, S.C.",,,"L,2-7",
"March 15, 2007 (Thursday)",12:00 p.m.,Neutral,Clarion (Pa.),"Hilton Head, S.C.",,,"L,2-7",
"March 24, 2007 (Saturday)",10:00 a.m.,Home,Martin Luther,Burnsville Tennis Club,,,"W,8-1",
"March 29, 2007 (Thursday)",7:00 p.m.,Home,Northwestern (Minn.),Macalester Tennis Courts,,,"L,3-6",
"April 5, 2007 (Thursday)",3:45 p.m.,Away,Bethel,Arden Hills,,,"L,4-5",
"April 14, 2007 (Saturday)",12:00 p.m.,Home,Concordia-Moorhead,Baseline Tennis Cent,,,"W,7-2",
"April 16, 2007 (Monday)",5:00,Home,St. Thomas,Macalester Tennis Courts,,,"L,1-8",
"April 18, 2007 (Wednesday)",4:00 p.m.,Home,Hamline,Macalester Tennis Courts,,,"L,2-7",
"April 21, 2007 (Saturday)",12:00 p.m.,Away,St. Benedict,St. Joseph,,,"L,0-9",
"April 22, 2007 (Sunday)",5:00 p.m.,Home,Gustavus Adolphus,Macalester Tennis Courts,,,"L,0-9",
