#,Player,GP,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0
#,Player,GP,MIN,FG%,3PT%,FT%,OREB,DREB,REB,AST,STL,BLK,PTS
5.0,"Curta, Vinny 05 Curta, Vinny",25,18.8,0.475,0.263,0.797,1.5,2.7,4.2,6.1,1.8,0.2,25.0
21.0,"Qualley, Jackson 21 Qualley, Jackson",25,18.3,0.397,0.355,0.689,1.3,2.2,3.5,3.4,1.3,0.2,17.7
2.0,"Kogelnik, Hannes 02 Kogelnik, Hannes",25,18.7,0.375,0.37,0.875,1.2,1.5,2.7,1.8,1.2,0.1,16.7
13.0,"Johnson, Ky-Sean 13 Johnson, Ky-Sean",23,15.7,0.442,0.379,0.733,0.7,0.9,1.6,1.3,1.6,0.0,14.5
10.0,"Stice, Zachary 10 Stice, Zachary",25,16.8,0.446,0.441,0.5,0.9,0.8,1.7,0.9,0.7,0.0,10.3
35.0,"Simms, Patrick 35 Simms, Patrick",25,13.2,0.5,0.36,0.644,1.0,1.5,2.6,1.3,1.6,0.0,6.0
22.0,"Grumhaus, Tyler 22 Grumhaus, Tyler",24,15.4,0.522,0.448,0.636,1.4,1.1,2.5,1.7,0.9,0.0,5.7
25.0,"Bebee, Will 25 Bebee, Will",25,13.8,0.592,0.333,0.366,2.2,2.6,4.7,0.5,1.0,1.6,4.5
44.0,"Geiman, Brad 44 Geiman, Brad",25,16.5,0.691,0.273,0.487,2.2,3.0,5.2,0.2,0.5,2.6,4.6
11.0,"Moynihan, Ant 11 Moynihan, Ant",11,4.7,0.256,0.2,0.571,0.3,0.2,0.5,0.5,0.3,0.0,3.1
33.0,"Walser, Morgan 33 Walser, Morgan",25,10.4,0.379,0.389,0.333,0.7,0.5,1.2,0.4,0.5,0.0,2.7
54.0,"Jones, Derek 54 Jones, Derek",24,3.7,0.4,0.4,0.0,0.2,0.7,0.9,0.4,0.1,0.1,2.5
24.0,"Gulve, Anthony 24 Gulve, Anthony",25,7.4,0.435,0.432,1.0,0.2,0.2,0.5,0.4,0.4,0.0,2.4
4.0,"Boehm, Griffin 04 Boehm, Griffin",25,9.8,0.357,0.278,0.545,1.8,1.4,3.3,0.7,0.7,0.1,1.5
42.0,"Brookens, Christian 42 Brookens, Christian",23,8.1,0.317,0.25,0.5,0.5,0.6,1.1,1.2,0.8,0.0,1.7
3.0,"Breshears, Jackson 03 Breshears, Jackson",18,3.5,0.0,0.0,0.333,0.8,0.2,1.0,0.2,0.2,0.0,0.1
3.0,"Conran, Jake 03 Conran, Jake",7,3.0,0.0,0.0,0.0,0.1,0.9,1.0,0.1,0.0,0.0,0.0
23.0,"Dubow, Will 23 Dubow, Will",25,4.4,0.5,0.0,0.375,0.7,1.0,1.7,0.4,0.6,0.5,0.4
15.0,"Jacobson, Noah 15 Jacobson, Noah",15,3.5,0.286,0.125,0.5,0.5,0.3,0.8,0.5,0.5,0.0,0.7
45.0,"Keller, Dawson 45 Keller, Dawson",14,2.6,0.125,0.0,0.5,0.4,0.4,0.9,0.1,0.1,0.4,0.2
12.0,"Leder, Jacob 12 Leder, Jacob",11,4.6,0.059,0.063,0.0,0.6,0.2,0.8,0.2,0.5,0.0,0.3
3.0,"Vest, Brady 03 Vest, Brady",5,3.0,0.0,0.0,0.75,0.6,0.0,0.6,0.2,0.2,0.0,0.6
,Total,25,200.0,0.432,0.359,0.687,20.8,23.3,44.1,21.2,14.4,5.8,116.72
,Opponents,25,200.0,0.556,0.392,0.654,13.7,35.0,48.8,25.6,7.2,2.7,101.72
