Statistic,High,Player,Opponent
POINTS,48,Vinny Curta,Lawrence University (12/01/18)
FIELD GOALS MADE,14,Hannes Kogelnik; Vinny Curta,Wright State-Lake (11/25/18); Lawrence University (12/01/18)
FIELD GOAL ATTEMPTS,29,Vinny Curta,Cornell College (01/16/19)
3 PT FIELD GOALS MADE,12,Hannes Kogelnik,Wright State-Lake (11/25/18)
3 PT FG ATTEMPTS,21,Hannes Kogelnik,Wright State-Lake (11/25/18)
FREE THROWS MADE,20,Vinny Curta,Lawrence University (12/01/18)
FREE THROW ATTEMPTS,24,Vinny Curta,Lawrence University (12/01/18)
REBOUNDS,12,Vinny Curta,Cornell College (01/16/19)
ASSISTS,10,Vinny Curta,Knox (12/08/18); Beloit (01/31/19); Lake Forest (02/16/19); Illinois College (01/08/19)
STEALS,6,Jackson Qualley,Knox (01/19/19)
BLOCKED SHOTS,9,Brad Geiman,Colorado College (12/09/18)
TURNOVERS,8,Vinny Curta,Ripon College (01/05/19)
FOULS,5,Will Bebee; Brad Geiman; Vinny Curta; Tyler Grumhaus,Central (11/20/18); Monmouth College (01/02/19); Ripon College (01/05/19); St. Norbert (02/09/19); Beloit (02/13/19)
