Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#02 Kogelnik, Hannes",25,112,303,0.37,4.5,12.1
"#10 Stice, Zachary",25,83,188,0.441,3.3,7.5
"#21 Qualley, Jackson",25,81,228,0.355,3.2,9.1
"#13 Johnson, Ky-Sean",23,72,190,0.379,3.1,8.3
"#05 Curta, Vinny",25,31,118,0.263,1.2,4.7
"#22 Grumhaus, Tyler",24,26,58,0.448,1.1,2.4
"#33 Walser, Morgan",25,21,54,0.389,0.8,2.2
"#54 Jones, Derek",24,20,50,0.4,0.8,2.1
"#24 Gulve, Anthony",25,19,44,0.432,0.8,1.8
"#35 Simms, Patrick",25,18,50,0.36,0.7,2.0
"#25 Bebee, Will",25,7,21,0.333,0.3,0.8
"#11 Moynihan, Ant",11,6,30,0.2,0.5,2.7
"#04 Boehm, Griffin",25,5,18,0.278,0.2,0.7
"#42 Brookens, Christian",23,5,20,0.25,0.2,0.9
"#44 Geiman, Brad",25,3,11,0.273,0.1,0.4
"#15 Jacobson, Noah",15,1,8,0.125,0.1,0.5
"#12 Leder, Jacob",11,1,16,0.063,0.1,1.5
"#03 Breshears, Jackson",18,0,7,0.0,0.0,0.4
"#23 Dubow, Will",25,0,2,0.0,0.0,0.1
"#45 Keller, Dawson",14,0,4,0.0,0.0,0.3
"#03 Vest, Brady",5,0,4,0.0,0.0,0.8
