#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
05,"Curta, Vinny 05 Curta, Vinny",25,20.0,470,18.8,191,402,0.475,31,118,0.263,212,266,0.797,625,25.0,38,67,105,4.2,43,152,62,45,6,View Bio
21,"Qualley, Jackson 21 Qualley, Jackson",25,5.0,458,18.3,144,363,0.397,81,228,0.355,73,106,0.689,442,17.7,33,54,87,3.5,37,84,50,32,5,View Bio
02,"Kogelnik, Hannes 02 Kogelnik, Hannes",25,6.0,467,18.7,135,360,0.375,112,303,0.37,35,40,0.875,417,16.7,31,37,68,2.7,19,44,29,31,3,View Bio
13,"Johnson, Ky-Sean 13 Johnson, Ky-Sean",23,18.0,362,15.7,114,258,0.442,72,190,0.379,33,45,0.733,333,14.5,16,20,36,1.6,44,31,24,37,0,View Bio
10,"Stice, Zachary 10 Stice, Zachary",25,20.0,420,16.8,87,195,0.446,83,188,0.441,1,2,0.5,258,10.3,22,21,43,1.7,15,22,17,17,1,View Bio
35,"Simms, Patrick 35 Simms, Patrick",25,4.0,331,13.2,52,104,0.5,18,50,0.36,29,45,0.644,151,6.0,26,38,64,2.6,46,32,29,41,1,View Bio
22,"Grumhaus, Tyler 22 Grumhaus, Tyler",24,5.0,370,15.4,48,92,0.522,26,58,0.448,14,22,0.636,136,5.7,33,26,59,2.5,38,41,21,22,1,View Bio
44,"Geiman, Brad 44 Geiman, Brad",25,5.0,413,16.5,47,68,0.691,3,11,0.273,19,39,0.487,116,4.6,55,76,131,5.2,52,5,11,13,66,View Bio
25,"Bebee, Will 25 Bebee, Will",25,19.0,344,13.8,45,76,0.592,7,21,0.333,15,41,0.366,112,4.5,54,64,118,4.7,78,13,20,26,39,View Bio
11,"Moynihan, Ant 11 Moynihan, Ant",11,0.0,52,4.7,10,39,0.256,6,30,0.2,8,14,0.571,34,3.1,3,2,5,0.5,4,6,5,3,0,View Bio
33,"Walser, Morgan 33 Walser, Morgan",25,8.0,259,10.4,22,58,0.379,21,54,0.389,2,6,0.333,67,2.7,17,13,30,1.2,31,9,12,12,0,View Bio
54,"Jones, Derek 54 Jones, Derek",24,1.0,89,3.7,20,50,0.4,20,50,0.4,0,1,0.0,60,2.5,5,16,21,0.9,13,10,2,3,2,View Bio
24,"Gulve, Anthony 24 Gulve, Anthony",25,0.0,184,7.4,20,46,0.435,19,44,0.432,2,2,1.0,61,2.4,6,6,12,0.5,7,11,5,11,0,View Bio
42,"Brookens, Christian 42 Brookens, Christian",23,4.0,186,8.1,13,41,0.317,5,20,0.25,7,14,0.5,38,1.7,11,14,25,1.1,30,27,17,18,0,View Bio
04,"Boehm, Griffin 04 Boehm, Griffin",25,10.0,244,9.8,10,28,0.357,5,18,0.278,12,22,0.545,37,1.5,46,36,82,3.3,45,17,6,18,3,View Bio
15,"Jacobson, Noah 15 Jacobson, Noah",15,0.0,53,3.5,4,14,0.286,1,8,0.125,1,2,0.5,10,0.7,8,4,12,0.8,11,7,5,7,0,View Bio
03,"Vest, Brady 03 Vest, Brady",5,0.0,15,3.0,0,5,0.0,0,4,0.0,3,4,0.75,3,0.6,3,0,3,0.6,4,1,1,1,0,View Bio
23,"Dubow, Will 23 Dubow, Will",25,0.0,111,4.4,4,8,0.5,0,2,0.0,3,8,0.375,11,0.4,18,25,43,1.7,25,9,9,15,12,View Bio
12,"Leder, Jacob 12 Leder, Jacob",11,0.0,51,4.6,1,17,0.059,1,16,0.063,0,0,0.0,3,0.3,7,2,9,0.8,1,2,3,5,0,View Bio
45,"Keller, Dawson 45 Keller, Dawson",14,0.0,37,2.6,1,8,0.125,0,4,0.0,1,2,0.5,3,0.2,6,6,12,0.9,10,1,4,1,6,View Bio
03,"Breshears, Jackson 03 Breshears, Jackson",18,0.0,63,3.5,0,8,0.0,0,7,0.0,1,3,0.333,1,0.1,14,4,18,1.0,5,4,3,3,0,View Bio
03,"Conran, Jake 03 Conran, Jake",7,0.0,21,3.0,0,2,0.0,0,0,0.0,0,2,0.0,0,0.0,1,6,7,1.0,1,1,1,0,0,View Bio
TM,Team  TM Team,25,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,66,46,112,4.5,0,0,2,0,0,
,Total,25,,5000,200.0,968,2242,0.432,511,1424,0.359,471,686,0.687,2918,116.72,519,583,1102,44.1,559,529,338,361,145,
,Opponents,25,,5000,200.0,999,1797,0.556,138,352,0.392,407,622,0.654,2543,101.72,343,876,1219,48.8,543,641,628,179,68,
