Name,GP,PF,PF/G
"#25 Bebee, Will",25,78,3.1
"#44 Geiman, Brad",25,52,2.1
"#35 Simms, Patrick",25,46,1.8
"#04 Boehm, Griffin",25,45,1.8
"#13 Johnson, Ky-Sean",23,44,1.9
"#05 Curta, Vinny",25,43,1.7
"#22 Grumhaus, Tyler",24,38,1.6
"#21 Qualley, Jackson",25,37,1.5
"#33 Walser, Morgan",25,31,1.2
"#42 Brookens, Christian",23,30,1.3
"#23 Dubow, Will",25,25,1.0
"#02 Kogelnik, Hannes",25,19,0.8
"#10 Stice, Zachary",25,15,0.6
"#54 Jones, Derek",24,13,0.5
"#15 Jacobson, Noah",15,11,0.7
"#45 Keller, Dawson",14,10,0.7
"#24 Gulve, Anthony",25,7,0.3
"#03 Breshears, Jackson",18,5,0.3
"#11 Moynihan, Ant",11,4,0.4
"#03 Vest, Brady",5,4,0.8
"#03 Conran, Jake",7,1,0.1
"#12 Leder, Jacob",11,1,0.1
