Statistic,High,Opponent
POINTS,177,Wright State-Lake (11/25/18)
FIELD GOALS MADE,59,Wright State-Lake (11/25/18)
FIELD GOAL ATTEMPTS,119,Wright State-Lake (11/25/18)
3 PT FIELD GOALS MADE,42,Emmaus (11/15/18)
3 PT FG ATTEMPTS,89,Central (11/20/18)
FREE THROWS MADE,31,Eureka (11/13/18)
FREE THROW ATTEMPTS,44,Eureka (11/13/18)
REBOUNDS,64,Cornell College (01/16/19)
ASSISTS,42,Emmaus (11/15/18)
STEALS,30,Knox (12/08/18)
BLOCKED SHOTS,13,Lawrence (01/12/19); Cornell College (01/16/19)
TURNOVERS,23,Nebraska Wesleyan (11/08/18)
FOULS,29,St. Norbert (02/09/19)
