Name,GP,FTM,FTA,FT%,FTM/G,FTA/G
"#05 Curta, Vinny",25,212,266,0.797,8.5,10.6
"#21 Qualley, Jackson",25,73,106,0.689,2.9,4.2
"#02 Kogelnik, Hannes",25,35,40,0.875,1.4,1.6
"#13 Johnson, Ky-Sean",23,33,45,0.733,1.4,2.0
"#35 Simms, Patrick",25,29,45,0.644,1.2,1.8
"#44 Geiman, Brad",25,19,39,0.487,0.8,1.6
"#25 Bebee, Will",25,15,41,0.366,0.6,1.6
"#22 Grumhaus, Tyler",24,14,22,0.636,0.6,0.9
"#04 Boehm, Griffin",25,12,22,0.545,0.5,0.9
"#11 Moynihan, Ant",11,8,14,0.571,0.7,1.3
"#42 Brookens, Christian",23,7,14,0.5,0.3,0.6
"#23 Dubow, Will",25,3,8,0.375,0.1,0.3
"#03 Vest, Brady",5,3,4,0.75,0.6,0.8
"#24 Gulve, Anthony",25,2,2,1.0,0.1,0.1
"#33 Walser, Morgan",25,2,6,0.333,0.1,0.2
"#03 Breshears, Jackson",18,1,3,0.333,0.1,0.2
"#15 Jacobson, Noah",15,1,2,0.5,0.1,0.1
"#45 Keller, Dawson",14,1,2,0.5,0.1,0.1
"#10 Stice, Zachary",25,1,2,0.5,0.0,0.1
"#03 Conran, Jake",7,0,2,0.0,0.0,0.3
"#54 Jones, Derek",24,0,1,0.0,0.0,0.0
