Name,GP,Pts,Pts/G
"#05 Curta, Vinny",25,625,25.0
"#21 Qualley, Jackson",25,442,17.7
"#02 Kogelnik, Hannes",25,417,16.7
"#13 Johnson, Ky-Sean",23,333,14.5
"#10 Stice, Zachary",25,258,10.3
"#35 Simms, Patrick",25,151,6.0
"#22 Grumhaus, Tyler",24,136,5.7
"#44 Geiman, Brad",25,116,4.6
"#25 Bebee, Will",25,112,4.5
"#33 Walser, Morgan",25,67,2.7
"#24 Gulve, Anthony",25,61,2.4
"#54 Jones, Derek",24,60,2.5
"#42 Brookens, Christian",23,38,1.7
"#04 Boehm, Griffin",25,37,1.5
"#11 Moynihan, Ant",11,34,3.1
"#23 Dubow, Will",25,11,0.4
"#15 Jacobson, Noah",15,10,0.7
"#45 Keller, Dawson",14,3,0.2
"#12 Leder, Jacob",11,3,0.3
"#03 Vest, Brady",5,3,0.6
"#03 Breshears, Jackson",18,1,0.1
